,Header,Summary,Detail,Link,Category,CreationDate
0,Parvez terms SC last hope for KP polls,LAHORE: Pakistan Tehreek-i-Insaf Central President Chaudhry Parvez Elahi says the Supreme Court is the last hope to...,"LAHORE: Pakistan Tehreek-i-Insaf Central President Chaudhry Parvez Elahi says the Supreme Court is the last hope to hold the Khyber Pakhtunkhwa election as the rulers are trying every trick to avoid the polls.  
He said the Shehbaz Sharif government wanted to create political instability in the country. 
Mr Elahi was speaking to a delegation comprising KP Assembly Speaker Mushtaq Ahmed Ghani, Rao Abdul Rahman, former provincial minister Bao Rizwan and other leaders, who called on him at his residence on Friday. 
Mr Ghani briefed Mr Elahi about the progress on the petition filed in the Supreme Court related to the KP election and consulted him on political issues. 
Despite the clear order of the Supreme Court, the PTI president said Shehbaz Sharif and the cabinet were adamant not to hold the elections. He said passing unconstitutional resolutions against the Supreme Court by the Parliament was contempt of court and each and every minister should be taken to task. 
Mr Elahi said Shehbaz Sharif’s plan to make the army controversial would never succeed as the army always stood by the constitution and the masses. 
He said the parliament itself was a product of the election and asked how it could oppose elections. 
He said the caretaker government was doing everything that did not come under its jurisdiction except holding the elections. 
Parvez Elahi said the Election Commission of Pakistan had begun implementing the decision of the Supreme Court and issued the schedule and the code of conduct. He said provocative speeches against the judiciary were also a violation of the ECP’s code of conduct and the commission must take notice of the government’s rhetoric against the judiciary.
Published in Dawn, April 8th, 2023
",https://www.dawn.com/news/1746451/parvez-terms-sc-last-hope-for-kp-polls,lahore,2023-04-08
1,Lahore ATC asks PTI leaders to join police investigation,Extends their pre-arrest bail.,"LAHORE: An anti-terrorism court on Friday extended interim pre-arrest bail of PTI Secretary General Asad Umar and other leaders in a case of violence and attack on police outside Zaman Park and also ordered them to appear before a Joint Investigation Team (JIT) made to probe the events.
Earlier, Umar, Dr Yasmin Rashid, Mian Aslam Iqbal, Musarrat Jamshed Cheema and Zubair Khan Niazi appeared before the court on expiry of their pre-arrest bail.
Barrister Salman Safdar represented the PTI leaders before the court.
JIT head SSP Imran Kishwar told the court that only Asad Umar had so far joined the police investigation.

Extends their pre-arrest bail

PTI’s counsel said the petitioners should be allowed to join the investigation in the court.
However, the SSP said the petitioners were required to appear before the JIT at its office as their statements would be recorded in the presence of the witnesses of the case.
Judge Abher Gul Khan directed the PTI leaders to appear before the JIT on Friday at 2:30pm.
Dr Rashid requested the court to give a long date in the bail hearing as election activities were at peak.
However, the judge turned down the request and observed that elections and all other matters were supposed to run alongside.
The judge extended the bail of the PTI leaders till April 27.
The clashes between the PTI workers and the police occurred on March 18 when a police team went to Zaman Park residence of former prime minister Imran Khan with a search warrant for the investigation of the previous incidents of violence. 
The Lahore High Court had also permitted the police to visit the venue for investigation.
Imran Khan had already left for Islamabad to appear before different courts when the police reached his Lahore residence.
The party workers attacked the police teams with petrol bombs, rocks and also torched official vehicles.
Published in Dawn, April 8th, 2023
",https://www.dawn.com/news/1746449/lahore-atc-asks-pti-leaders-to-join-police-investigation,lahore,2023-04-08
2,Markets allowed to remain open till 1am,LHC allows the request and relaxed the timings for markets till 1am due to approaching Eidul Fitr.,"LAHORE: The Lahore High Court on Friday relaxed business timings for trading and allowed all markets to remain open till 1am till Eidul Fitr.
Justice Shahid Karim held a weekly hearing on multiple environmental issues.
Before the start of the fasting month, there were orders by the court for the eateries and bakeries to close by 10pm during the first five days of the week and by 11pm on weekends.
The traders had requested the judge to relax the business hours during Ramazan as people visit markets for Eid shopping after Iftar and Tarahweeh.
Justice Karim allowed the request and relaxed the timings for markets till 1am due to approaching Eidul Fitr.
Taking up the issue of trees, the judge observed that felling of trees would not be tolerated anymore. 
He pointed out that citizens of the United States were not even allowed to cut trees inside their homes.
The judge directed the Parks and Horticulture Authority (PHA) to submit its next tree-plantation campaign in the city.
A law officer proposed planting trees alongside the city canal to control hot weather.
The judge directed the Water and Sanitation Agency to check the groundwater level in Lahore afresh.
He adjourned further hearing till April 14, and directed the deputy commissioner to submit a fresh report on action taken against brick kilns for not switching to the new environment friendly technology.
Last week, the judge had allowed the bakeries to remain open till 1am daily during Ramazan.
Published in Dawn, April 8th, 2023
",https://www.dawn.com/news/1746447/markets-allowed-to-remain-open-till-1am,lahore,2023-04-08
3,Doctor’s two sons kidnapped on way to school in Khanpur,RAHIM YAR KHAN: Two minor sons of a senior doctor were on Friday kidnapped on their way to school by two ...,"RAHIM YAR KHAN: Two minor sons of a senior doctor were on Friday kidnapped on their way to school by two unidentified armed men at Khanpur, some 45kms from here. 
According to the first information report (FIR), Shayaan Hassan (11) and Subhan Hassan (6), sons of former medical superintendent of the Khanpur Tehsil Headquarters Hospital, Dr Hassan Mehmood, were going to school located in Model Town-B area in a car driven by the doctor’s driver Lal Khan.  
As per the driver, their car was intercepted by another car occupied by two armed men who allegedly kidnapped the boys at gunpoint and drove away in the presence of some passersby.  
The Khanpur city police registered the FIR (377/23) under section 363 of Pakistan Penal code against the unidentified kidnappers.
A CCTV footage of the incident shows a car overtaking the doctor’s car (carrying the two children) on a busy road, two armed alighting from it talk to the driver and later shift the children into their vehicle and drive away.  
District Police Officer (DPO) Rizwan Umar Gondal, on being informed of the incident, reached Khanpur and took briefing about the incident from local police.  
The DPO later told the media that some progress had been made in the kidnapping case, but he won’t share it with reporters immediately as it could impact the ongoing investigations.  
The Pakistan Medical Association (PMA) local chapter condemned the incident, demanding early recovery of the children.  
PMA Punjab Vice President Dr Jam Ghulam Qasim Sabbir told reporters that the association held an emergent meeting that condemned the government for its failure to provide security to people.  
“We hope that the kidnapped children will be recovered soon, otherwise we will be forced for call a province-wide strike,” he added. 
Similarly, Greater Health Alliance of Sheikh Zayed Medical College Hospital (SZMCH) has also condemned the kidnapping and criticised the police over the rising lawlessness in the district, announcing a strike at the hospital, except its emergency, on April 8 (today), if the children were not recovered within 12 hours.
Meanwhile, PML-N MNA from Khanpur Sheikh Fiaz Ahmed on Friday said on the floor of the National Assembly that dacoits from Kacha (riverine) area in a video message had threatened to kidnap children if their (dacoits’) children were not returned by police.  
The MNA demanded the speaker to take immediate notice of the incident and ensure recovery of the children at the earliest.   
Two days ago four cloth traders of Multan, also member of Multan Chamber of Commerce and Industry (MCCI), were kidnapped by a dacoits gang near Kacha area on Sindh-Punjab border after luring them with a “large quantity of cheap cloth”. 
The dacoits are demanding Rs10 million for releasing each of the the kidnapped trader.
Published in Dawn, April 8th, 2023
",https://www.dawn.com/news/1746446/doctors-two-sons-kidnapped-on-way-to-school-in-khanpur,lahore,2023-04-08
4,Man awarded death for minor daughter’s rape,RAHIM YAR KHAN: A man was sentence to death on Friday for raping his own minor daughter in Sadiqabad. Additional...,"RAHIM YAR KHAN: A man was sentence to death on Friday for raping his own minor daughter in Sadiqabad. 
Additional District and Sessions Judge Muhammad Moeen Khokhar announced the verdict against Pervaiz Shehzad, a resident of Mustafa Town of Sadiqabad that included Rs0.5m fine.  
The case was registered with the City Police Station in January this year on the complaint of the maternal grandfather of the 13-year-old victim. 
The convict shall also pay Rs1m as compensation to the victim and in the case of default of the payment, he would undergo six months further imprisonment and the fine and compensation amount would be recovered from his land revenue.  
The convict was also penalised under Section 377-B of PPC with 25 years jail term and Rs1m fine.
Published in Dawn, April 8th, 2023
",https://www.dawn.com/news/1746445/man-awarded-death-for-minor-daughters-rape,lahore,2023-04-08
5,Two medical universities get new Pro-VCs,Violation of merit alleged at NMU,"LAHORE: The Punjab government has approved two summaries and appointed new pro-vice chancellors of the Nishtar Medical University (NMU), Multan and the University of Child Health Sciences (UCHS), Lahore. 
According to the notifications, gynecologist of BPS-20 Prof Dr Mehnaz Khakwani has been made Pro-VC of the NMU while professor of cardiology Dr Masood Sadiq has been appointed at the same post in the UCHS. 
The important slots of the both medical institutes had been lying vacant for quite some time. 
The Punjab Specialised Healthcare & Medical Education Department was under pressure by the senior faculty members of the both the universities to fill the slots on merit to avoid unrest as there were reports that these seats were kept vacant either deliberately or negligently, making the institutes suffer. 

Violation of merit alleged at NMU

Following the concerns of the faculty members, the department moved separate summaries, nominating three senior professors each against both slots. The department had nominated three senior medics of the NMU for appointment of one of them as Pro-VC. They included professor of radiotherapy Dr Ahmed Ijaz Masood, professor of gynae Dr Mehnaz Khakwani and professor of surgery Dr Iftikhar Hussain Khan according to the seniority list. 
It had proposed names of three senior faculty members for the same slot at the UCHS. They included acting VC of the UCHS Prof Masood Sadiq, Prof Muhammad Saleem and Prof Shazia Maqbool. 
Governor Balighur Rehman approved the appointments on Friday. 
However, an official highlighted an anomaly in the appointment of the new PRO VC of the NMU, saying that according to the merit, Prof Ahmad Ijaz Masood was the senior most among the three candidates nominated by the department for the post but the government allegedly ignored him and appointed Prof Khakwani who was second in the seniority list. The decision was also a violation of the Lahore High Court’s ruling, he said. 
The official said a full bench of the LHC, headed by Justice Shahid Waheed with Justice Shams Mahmood Mirza and Justice Sajid Mahmood Sethi as its members, had given a ruling in November 2020 that the senior most professor would be appointed as the pro-VC even if a single day of service remained before the age of superannuation. 
The judgment was given in the case of Prof Asad Aslam of the King Edward Medical University when he moved the court against the appointment of his junior colleague as the Pro-VC of the university. He had submitted in his plea that he was the senior-most KEMU professor but was illegally ignored for the post on the pretext that the length of his remaining service was less than three years. Consequent to the LHC ruling, Prof Asad was appointed as PRO VC of the KEMU, the official said.  
In the case of Prof Masood Sadiq, he added, the Punjab government followed the LHC’s order and merit but ignored the same while making appointment of Pro-VC of the NMU, Multan. 
The official said the PRO-VC served as acting VC in the absence of the regular VC. He said Prof Ijaz Ahmad Masood had earlier served the NMU as VC twice in 2018 and in 2020 and then as the pro-VC for a brief period being senior most among all the other faculty members.
Published in Dawn, April 8th, 2023
",https://www.dawn.com/news/1746444/two-medical-universities-get-new-pro-vcs,lahore,2023-04-08
6,ACE summons NA body ex-chairman in corruption probe,LAHORE: The Anti-Corruption Establishment (ACE) on Friday summoned National Assembly Standing Committee on Finance...,"LAHORE: The Anti-Corruption Establishment (ACE) on Friday summoned National Assembly Standing Committee on Finance former chairman Faizullah Kamoka on April 10 in a corruption probe.  
According to the ACE, Faizullah Kamoka caused a loss of over Rs400 million to the Parks and Horticulture Authority, Faisalabad.  During his tenure, Mr Kamoka colluded with officials to commit corruption.  
“He was promoting business by installing 100 LED poles on Harianwala Road and Susan Road in Faisalabad without a contract for five years,” it said, adding he extorted millions of rupees from people through illegal advertising business and did not deposit any money in the treasury for government contracts.
Each LED contract is different as per Parks and Horticulture Authority rules, it said.  
Meanwhile, the ACE also opened investigation against former chief minister Usman Buzdar’s principal secretary Tahir Khursheed.
Published in Dawn, April 8th, 2023
",https://www.dawn.com/news/1746442/ace-summons-na-body-ex-chairman-in-corruption-probe,lahore,2023-04-08
7,"Plan to promote art, cultural activities",LAHORE: A Culture Review Committee meeting headed by Additional Secretary Culture Nazia Jabeen was held at her ...,"LAHORE: A Culture Review Committee meeting headed by Additional Secretary Culture Nazia Jabeen was held at her office in Civil Secretariat on Friday in which a number of key decisions were taken to promote art and cultural activities through different art councils.
The meeting was attended by representatives of the Punjab Institute of Language, Art and Culture, Punjab Council of Arts, Lahore Arts Council, Bab-e-Pakistan, Director of Lyallpur Museum, Faisalabad, and other stakeholders from various cultural organizations. 
The cultural review committee has been formed to plan and review the cultural activities of field formations of the Information and Culture Department and to provide valuable input by discussion and collaboration.  
It was decided in the meeting that art and culture activities for children should be increased as there is a dearth of activities for children such as storytelling, plays for children, publishing of literature for children and providing them avenues to showcase their talent through visual and performing arts.
It was also decided in the meeting that tributes would be paid to living legends, artists for their contribution in the field of performing arts. It noted there had been a tradition to pay tributes to artistes after their demise but now it was time to change this approach and the emphasis was on the fact that artistes should be paid tribute during their lifetime.
A decision to hold a series of talent-hunt shows and give awards to the youth to encourage young people in art, music and dramatics was also reached in the meeting. The individuals or arts councils would also be awarded for introducing new ideas and taking initiatives to promote art and culture.  
Another important aspect was also discussed and agreed in the meeting that each government-run cultural institution should have an active social media teams and training of social media for effective promotion was also emphasized. The training would be given to individuals working at different arts councils. Collaboration between LAC, PILAC, PUCAR and other autonomous bodies of the Information and Culture department was also agreed upon to come up with mega cultural events.
Published in Dawn, April 8th, 2023
",https://www.dawn.com/news/1746441/plan-to-promote-art-cultural-activities,lahore,2023-04-08
8,"Two robbers killed, as many cops injured in encounter",LAHORE: Two suspected robbers were killed while two policemen were injured in an counter in the Chuhng police area...,"LAHORE: Two suspected robbers were killed while two policemen were injured in an counter in the Chuhng police area here on Friday.
A police official said a team of the Chawki Sher Shah was patrolling in the area when it signalled four suspects who were coming on two motorbikes. He said the suspects who were armed with weapons suddenly opened fire on the police personnel.
Resultantly, two policemen suffered multiple bullet wounds, he said adding the other police personnel returned the fire which led to an encounter.
During the exchange of fire, two suspected robbers were killed while the others managed to escape. More police from nearby police stations reached there to raise the pickets to trace the fleeing suspects.
The injured policemen were shifted to a local hospital, the official said, adding the process for the identification of the robbers killed in the encounter was under way.
Published in Dawn, April 8th, 2023
",https://www.dawn.com/news/1746440/two-robbers-killed-as-many-cops-injured-in-encounter,lahore,2023-04-08
9,"Seminars, walks held to mark World Health Day","LAHORE: Like other parts of the country, the World Health Day was also observed all over the province by organising...","LAHORE: Like other parts of the country, the World Health Day was also observed all over the province by organising awareness seminars, walks and other events on Friday.
Addressing an awareness seminar held here at the Fatima Jinnah Medical University, Lahore, caretaker provincial ministers of health Prof Dr Javed Akram and Dr Jamal Nasir, FJMU Vice Chancellor Prof Khalid Masood Gondal and other senior faculty members highlighted the importance of day.
Prof Akram said April 7 was observed worldwide as the World Health Day to express the resolve to provide health facilities to the patients as their fundamental right.
He said population-wise Pakistan would be the 3rd largest country in the next 20 years.
“The people of our country must be provided with better health facilities in the government sector as the self-medication is a very dangerous process that was surfacing as the bigger threat to the health and lives of millions of people,” the caretaker minister said.
According to a research, Prof Akram said, 29 percent of Pakistan’s population was suffering from diabetes.
“We have to improve our infrastructure to provide standard healthcare to the patients at the public sector health facilities”, he said.He expressed concern over incidences of heart diseases, cancer and other fatal diseases among the young generation, stressing the importance of prevention, instead of fighting them. 
Punjab caretaker minister of primary and secondary healthcare Dr Jamal Nasir said his department was using all means to protect the people from the viral and other diseases.
He said a mechanism had been evolved to ensure recruitment on merit in the health department.
Prof Khalid Masood Gondal lauded the FJMU role in the rehabilitation of flood victims.
PFA: The Punjab Food Authority (PFA) also celebrated the World Health Day on the theme of “Health for All” by organising an awareness walk.  
The walk started from the PFA headquarters and ended at the Shah Abdul Latif Bhittai underpass along the Lahore Canal.
Led by PFA Director General Raja Jahangir Anwar, the walk was also participated by officers and staff of the authority.
In his address, Mr Jahangir said the authority’s nutrition teams had been creating awareness on social media regarding healthy food on a daily basis.  
He said special teams constituted to ensure the provision of healthy food to people on the coming Eid.
Published in Dawn, April 8th, 2023
",https://www.dawn.com/news/1746439/seminars-walks-held-to-mark-world-health-day,lahore,2023-04-08
