,Header,Summary,Detail,Link,Category,CreationDate
0,Two sisters killed as wall collapses in Swabi,SWABI: Two minor sisters were killed when boundary wall of their house collapsed in Nabi village of Chota Lahor...,"SWABI: Two minor sisters were killed when boundary wall of their house collapsed in Nabi village of Chota Lahor tehsil here on Saturday, Rescue 1122 officials said.
They said the girls were playing near the mud wall, which had been weakened by the recent rains, when it collapsed. 
People were asked from mosque loudspeakers to come to the rescue of the buried children. A rescue team also reached there in the meantime.
The two sisters were retrieved from the debris in critical condition and were taken to Bacha Khan Hospital Complex, Shahmansoor, where doctors pronounced them dead. The deceased were identified as Manahil, 11, and Anosha 10, daughters of a poor farmer.
Published in Dawn, April 9th, 2023
",https://www.dawn.com/news/1746682/two-sisters-killed-as-wall-collapses-in-swabi,peshawar,2023-04-09
1,PTI activist held  in Balakot on treason charge,"MANSEHRA: The Balakot police on Saturday arrested an office-bearer of Pakistan Tehreek-i-Insaf, who is also a youth...","MANSEHRA: The Balakot police on Saturday arrested an office-bearer of Pakistan Tehreek-i-Insaf, who is also a youth councillor in the Hassa village council, for treason.
A team led by SHO Tariq Khan arrested Najam Ali from Hassa area and shifted him to the police station.
“We have arrested the PTI activist for posting anti-state and anti-army content on his social media accounts,” SHO Khan said.
He said the accused was arrested under sections 120-B, 123-A/501 of Pakistan Penal Code and presented him before the local court. He said the judge sent him on 14-day judicial remand.
The SHO said the accused also used to instigate people against the army’s top brass.
“We got details of the social media accounts of the accused, verified them through relevant departments before arresting him,” Mr Khan said.
Meanwhile, the residents on Saturday demanded of the Mansehra tehsil municipal administration to remove encroachments along the Karakoram Highway in the bazaars to ensure smooth traffic flow and movement of shoppers.
“The people, particularly women and children, cannot freely move for shopping as shopkeepers and vendors have occupied footpaths and roadsides in the bazaars,” Ajmal Khan, a local resident, said.
He said footpaths on the Abbottabad, Shinkiari, Kashmir and Lari Adda roads were occupied by vendors.
He accused the Mansehra TMA of giving a free hand to shopkeepers and vendors to occupy roads and footpaths, creating hurdles in smooth flow of traffic.
Another local, Mubarak Shah said the TMA failed to launch an anti-encroachment drive despite announcements made many times in the past.
The people of Shinkiari and its suburbs also complained about traffic mess on the KKH due to encroachments.
Zahid Khan, a local, said the Baffa-Pakhal TMA and National Highway Authority had served notices on owners of buildings and shops, whose properties came in the right-of-way of the road, but they didn’t pay heed to the notices. 
He demanded of the authorities to launch an anti-encroachment drive immediately.
Published in Dawn, April 9th, 2023
",https://www.dawn.com/news/1746681/pti-activist-held-in-balakot-on-treason-charge,peshawar,2023-04-09
2,Sanitation workers observe strike against non-payment of salary on Easter Eve,Say they don’t have money to mark religious festival,"PESHAWAR: With Christians celebrating Easter today (Sunday), sanitation workers of the public sector Water and Sanitation Services Peshawar have complained about a delay in salary payment and said the lack of money amid record inflation has dampened their enthusiasm for the religious festival.
“It is Easter Eve — something of chand raat [the night before the Muslim festival of Eidul Fitr] — but I am home without any money to buy my children clothes and shoes for tomorrow,” WSSP sanitation worker Aurangzaib Masih told Dawn.
Mr Masih’s voice cracked up as he tried to keep his composure.
He said his children didn’t know or care about why their father hadn’t been paid, and just wanted to celebrate Easter like others.

Say they don’t have money to mark religious festival

Chairman of the All Municipal Worker Union WSSP Riaz Khan said the government-owned utility had 4,500 employees, including sanitation workers, tubewell operators, Class-IV employees, and ministerial staff members.
He said around 1,600 of those employees belonged to the Christian community who would celebrate Easter festival on Sunday.
“The company hasn’t paid salary to those employees ahead of their religious festival, which is an act of injustice,” he said.
Mr Khan said the delay in payment of salary to WSSP workers was beyond his understanding.
He said the WSSP’s sanitation workers observed a complete strike on Saturday to press for the immediate release of their salary to enjoy the festival.
The union chairman, however, said tubewell operators showed up at work to supply water to residents in the Muslim month of fasting.
He claimed that the WSSP’s top bosses spent most of the funds on themselves but didn’t ensure payment of salary to the employees on time.
Mr Khan said those workers were paid in the middle of every month.
A sanitation worker said he and his colleagues cleaned up toilets and performed other cleanliness duties but the company didn’t pay them salary ahead of Easter to deprive them and their families of celebrations
“Easter will be colorless as we can celebrate it with empty pockets. We cannot face our children, who are demanding Eidi [money given away to children on festivals),” he said.
The worker blamed his and family’s misery on the WSSP’s top management.
He said that the delay in salary payments, which had been happening for the last few months, had forced workers into paying electricity bills after the due date with a fine.
A tubewell operator told Dawn that in the presence of unprecedented inflation, the nonpayment of salary had doubled his financial problems like other workers of the company.
He said members of the sanitation staff boycotted duty, so garbage wasn’t collected from the provincial capital causing it to pile up on the streets and dumpsites to become an eyesore.
“As salary payments face delays on a regular basis, we have to borrow money from relatives to buy essential items,” he said.
WSSP chief executive officer Hasan Nisar was not available despite repeated attempts.
However, a senior company official blamed financial problems for the issue.
He told Dawn that the provincial government used to provide a “grant” to the WSSP on a quarterly basis but that hadn’t been happening for the last six months.
“The WSSP moved the official file for the release of salary funds on March 3 but the sluggish ways of the local government and finance departments to process it has delayed payments,” he said.
Published in Dawn, April 9th, 2023
",https://www.dawn.com/news/1746680/sanitation-workers-observe-strike-against-non-payment-of-salary-on-easter-eve,peshawar,2023-04-09
3,Officials promise removal of hurdles to Pak-Afghan trade,"Representatives of NLC, FC, police and other security departments make several suggestions to remove obstacles to Pak-Afghan trade.","PESHAWAR: Authorities have assured Pakistani and Afghan traders of measures to remove hurdles to trade between the two countries.
Newly-appointed chief collector (customs) in Khyber Pakhtunkhwa Fayyaz Anwar chaired a meeting at the Torkham border on Saturday to discuss issues related to Pak-Afghan trade.
The participants, including Pakistani and Afghan traders and relevant officials, held a “thorough discussion on the performance of relevant public sector institutions along with the problems of Pak-Afghan businessmen,” according to a news release.
The traders highlighted their issues and proposed ways to resolve them.

Traders complain of slow goods clearance at border points

The participants included collector customs (operations) in Peshawar Mohammad Ashfaq, additional collector customs at Torkham Mohammad Rizwan, additional collector customs in Peshawar Rizwan Mehmood, deputy collector (operations) at Torkham Asma Javed, assistant collectors at Torkham Imad Mohib, superintendent Siddique Akbar, PAJCCI coordinator and director Ziaul Haq Sarhadi, KCCI president Syed Jawad Hussain Kazmi, and members of the Torkham Customs Agents Association.
The representatives of NLC, FC, police and other security departments, who were also in attendance, made several suggestions to remove obstacles to Pak-Afghan trade.
Customs officials from Torkham briefed Mr Anwar about their visit to the newly-constructed NLC terminal.
Ziaul Haq Sarhadi, who is also the president of Frontier Customs Agents Association (FCAA) and former senior vice-president of the Sarhad Chamber of Commerce and Industry (SCCI), called for steps to ensure smooth Pak-Afghan trade as well as transit trade.
He said traders had no issues with the customs department at Torkham, Ghulam Khan and Kharlachi border points.
Mr Sarhadi, however, said officials of border management and other institutions took a lot of time for goods checking causing difficulties for traders.
He said while containers of Afghan transit trade were cleared in 10-12 days at Karachi Port, the demurrage charges were imposed on them due to the slow process of their clearance.
The FCCA president also complained that official orders for cross-stuffing hadn’t been implemented causing the levying of heavy charges on containers.
He suggested that goods of Afghan transit trade should be moved from Karachi to Torkham by the Pakistan Railways along with a bonded carrier service.
Mr Sarhadi urged authorities to allow the filing of goods documents at Azakhel dry port for trouble-free functioning of the customs clearing agents in the province.
Chief Collector (customs) Fayaz Anwar told traders that all possible measures would be taken to facilitate cross-border trade.
He said the customs department knew the problems facing the business community and would strive to resolve them on a priority basis.
Published in Dawn, April 9th, 2023
",https://www.dawn.com/news/1746679/officials-promise-removal-of-hurdles-to-pak-afghan-trade,peshawar,2023-04-09
4,Policy board to set time limits for MTIs capacity building,Panel chief says issues of medical teaching institutions to be discussed in next meeting,"PESHAWAR: The policy board for medical teaching institutions in Khyber Pakhtunkhwa has decided to call an overdue meeting following the Peshawar High Court’s decision to suspend its dissolution by the caretaker provincial government.
The five-member panel will meet shortly to finalise new guidelines and time limits for all MTIs of the province for building capacity as well as improving coordination with the health department for better patient care, according to officials.
On March 28, the health department issued a notification declaring that the chairman and members of the MTI policy board have ceased to hold their respective offices with immediate effect.
The move came in line with the March 16 decision of the caretaker cabinet to remove all board members, who, officials said, were appointed in Jan 2022 on a voluntary basis to guide MTIs in the province on how to work efficiently.

Panel chief says issues of medical teaching institutions to be discussed in next meeting

The Medical Teaching Institutions Reforms Act, 2015, granted autonomy to the province’s 10 public sector hospitals as well as medical and dental colleges affiliated with them to work for better patient care without any political interference, officials told Dawn.
They, however, said authorities later realised that MTIs pursued different policies for having a separate board of governors.
When contacted, chairman of the MTI policy board Prof Nausherwan Barki said the panel was finalising agenda for the upcoming meeting after its restoration by the high court through a stay order.
He said the board would examine the issues of MTIs and take important decisions for the better functioning of those institutions to the benefit of their visitors.
Prof Barki said the policy board, which comprised professional people, met every six weeks.
“Our meeting is long overdue, so I am in constant contact with [board] members to decide about its schedule and agenda,” he said.
Prof Barki, architect of the MTIRA 2015 in Khyber Pakhtunkhwa, said the members of the policy board has been appointed by search and nomination council for a period of three years and their tenures would end in January 2025.
“We [board members] are professional people and will continue to work voluntarily along with BoG members to develop MTIs and improve their patient care as allowed by the law,” he said.
Another member of the policy board told Dawn requesting anonymity that the government’s “plans to dissolve MTI BoG” would be challenged in the court of law.
However, officials in the health department insisted that no such move was in the works following the suspension of the MTI policy board’s dissolution by the high court.
They insisted that under the law, BoGs could abolish and re-designate MTI posts as and when required and could spend the “one-line budget” it received from the government to meet its needs.
The officials said the policy board was just a policy-making body unlike BoGs, which had “operational powers.”
They claimed that the policy board’s members challenged the notification of their removal as they thought that the move would bring their professional competencies into notoriety though no perks and privileges were attached to their positions.
The officials said the board members considered their unceremonious exit to be very disrespectful.
Legal experts insisted that the MTIRA could be abolished only by a majority vote of the provincial assembly, so there appeared to be no immediate threat to the MTIs.
Published in Dawn, April 9th, 2023
",https://www.dawn.com/news/1746678/policy-board-to-set-time-limits-for-mtis-capacity-building,peshawar,2023-04-09
5,UET Mardan to sign MoU with Chinese varsity,MARDAN: University of Engineering and Technology Mardan and China’s Northwestern Polytechnical University (NPU)...,"MARDAN: University of Engineering and Technology Mardan and China’s Northwestern Polytechnical University (NPU) have decided to sign a memorandum of understanding (MoU) to recognise importance of investing in the youth.
A delegation of NPU visited the UET Mardan on Saturday. UET Vice-chancellor Prof Sadiqullah welcomed the guests and highlighted the significance of the event.
The deputy director of the office of international cooperation at NPU, Li Ziwei, presented an overview of his university and the expertise and dedication of its faculty that would collaborate with UET Mardan to ensure the success of the partnership.
Dr Sadiqullah stated that UET Mardan was the second public sector engineering university in the province. He said that the university was located on the route of China-Pakistan Economic Corridor close to Rashakai industrial zone.
A statement issued by the university said that UET and NPU discussed in detail the partnership, which would benefit both countries. 
The partnership would facilitate student and faculty exchange programmes and scholarships besides establishment of joint research laboratories.
The ceremony was attended by various dignitaries including the dean of faculty of engineering and computing, Prof Imran Khan, the registrar, Dr Mohammad Alam, the director of planning and development, Engineer Sajjad Ali, the treasurer, Dr Murtaza Ali, director admission Dr Sajjad and faculty and students of UET Mardan.
Published in Dawn, April 9th, 2023
",https://www.dawn.com/news/1746677/uet-mardan-to-sign-mou-with-chinese-varsity,peshawar,2023-04-09
6,Youth advised to read books for understanding Islamic history,Speakers shed light on various aspects of Maulana Maududi’s book,"PESHAWAR: Panelists at a monthly study circle here on Saturday advised youth to revive reading habit to better comprehend Islamic history.
They said that extensive reading could help them to enlarge mental horizons and have an unbiased approach to any critical issue in the Islamic history. The monthly session was arranged by Peshawar Circles at Archives Library Hall. Students, scholars and bibliophiles attended the event.
Haris Khan, a panelist, read out summary of the book under debate. He said that Maulana Maududi’s book, “Caliphate and Monarchy,” was a work that explored the Islamic concept of governance and compared it to the concept of a monarchy. According to Maududi, he added, caliphate was the ideal form of Islamic governance as it was based on the principles of justice, consultation and responsibility.
Prof Qibla Ayaz, the chairman of Council of Islamic Ideology (CII), who was chief guest on the occasion, said that Maulana Abul A’la Maududi was an influential scholar and writer in the 20th century.

Speakers shed light on various aspects of Maulana Maududi’s book

He played a significant role in shaping the intellectual landscape of the Islamic world. He was an Islamic theorist, commentator and prolific writer on a wide range of topics related to Islam, politics and social issues.
“Maulana Maududi was known for his study of the Quranic text and for his interpretation of the Islamic way of life. His works are also instrumental in the revival of Islamic thought in the modern era. His works continue to have a profound impact on Muslim society’s today,” said Prof Qibla Ayaz.
Dr Karam Ilahi, a civil servant and scholar, was the keynote speaker at the event. He said that he was pleased to know that young people took interest in such events. He added that it was imperative for youth to revive reading habit to better understand the Islamic history.
He said that Maududi believed that the caliphate was the only system of governance that was consistent with Islamic teachings and values. He argued that the caliphate created a sense of unity and cohesion within the Muslim community and promoted justice, fairness and equality. Maududi advocated for the establishment of an Islamic caliphate, based on the principles of the Quran and Sunnah.
Shafeeq Giyani, the head of Peshawar Circles, opened the debate for the participants where noted scholar Dr Sikandar Tangi, Prof Hanif Rasool Kakakhel, Haji Abdul Haleem and Hamza Khan also spoke on various aspects of the book.
Also an interesting questions and answers session was followed at the end of event.
Published in Dawn, April 9th, 2023
",https://www.dawn.com/news/1746676/youth-advised-to-read-books-for-understanding-islamic-history,peshawar,2023-04-09
7,Man arrested with hashish in Chakdara,LOWER DIR: The Chakdara police on Saturday foiled a drug smuggling bid and seized one kilogram and 252 grams of...,"LOWER DIR: The Chakdara police on Saturday foiled a drug smuggling bid and seized one kilogram and 252 grams of hashish and arrested the alleged smuggler.
DSP Parvez Khan and Chakdara SHO Mohibullah Khan told local journalists that Nazir Hussain, a resident of Darbar Chakdara, who was travelling in a passenger coach, was arrested during a search operation.
They said that police recovered one kilogram and 252 grams of hashish from the accused. Police registered a case under narcotics control law and started further investigation.
IFTAR: The Al-Khidmat Foundation (AKF) arranged an Iftar dinner at its Aghoosh centre in Gulabad to mark the World Orphans Day here the other day.
District Police Officer Tariq Iqbal was chief guest on the occasion while social and political activists and local elders attended the event.
The function was addressed by AKF deputy general secretary Fazl Mahmood, district president Hafizullah Khaksar, JI district chief Izazul Mulk Afkari, JI tehsil emir Dr Bashir Mohammad and head of Aghoosh centre Saeedullah.
They lauded the services of AKF for welfare of widows and orphans in society. 
They said that AKF fulfilled a great responsibility by facilitating and supporting the orphan children.
The speakers said that unfortunately about 4.8 million orphans in Pakistan were deprived of support. 
They said that AKF had been sponsoring 22,000 orphans in the country while 1,800 others were being provided with free education, healthcare and residential facilities at its Aghosh centres.
DPO Tariq Iqbal praised AKF for its efforts and support for the orphans. 
He said that providing quality education and building the children’s character was a big challenge in the country.
Published in Dawn, April 9th, 2023
",https://www.dawn.com/news/1746675/man-arrested-with-hashish-in-chakdara,peshawar,2023-04-09
8,Peshawar admin bans tinted vehicle windows as security measure,Says such activities of miscreants and terrorists might lead to a breach of peace and general tranquillity in the district.,"PESHAWAR: The district administration has banned the use of tinted glass and the display of “non-indicative” number plates on vehicles for 15 days.
The ban was imposed after the administration received reports from police and other law enforcement agencies that miscreants might use tinted glass or “non-indicative” number plates on their vehicles to carry out sabotage activities in the Peshawar district, according to a notification issued on Saturday.
It said such activities of miscreants and terrorists might lead to a breach of peace and general tranquillity in the district.
The notification said the deputy commissioner imposed Section 144 of CrPC, banning the use of tinted glass and “non-indicative” number plates on vehicles. The notification said anyone found violating the order shall be proceeded against under Section 188 PPC.
On Thursday, the home and tribal affairs department had directed the police and district administrations across the province to take strict action against owners of vehicles with tinted glass and irregular number plates in view of the prevailing security situation.
In a letter addressed to the police, the excise department and deputy commissioners, the department stated that the upsurge in militant activities and continuing threat spectrum had necessitated preventive measures.
It said the Provincial Motor Vehicles Ordinance, 1965 and Pakistan Motor Vehicles Rules, 1969 prohibited the use of tinted glass and fake number plates on vehicles.
Published in Dawn, April 9th, 2023
",https://www.dawn.com/news/1746674/peshawar-admin-bans-tinted-vehicle-windows-as-security-measure,peshawar,2023-04-09
9,Health workers call for payment of pending salaries,PESHAWAR: Lady health workers (LHWs) have expressed serious concern over the delay in payment of their salaries...,"PESHAWAR: Lady health workers (LHWs) have expressed serious concern over the delay in payment of their salaries pending for months, and demanded of the provincial government to release their dues immediately and also regularise the services of contractual health workers.
Speaking at a joint news conference at the Peshawar Press Club on Saturday, Khyber Pakhtunkhwa Lady Health Workers Association general secretary Akhtar Bibi and Pakistan Labour Federation provincial president Abdul Sattar Hoti said salaries of health workers had been pending for past several months despite commitment by the relevant officials to release them.
They demanded LHWs’ upgradation to BPS-9 with a proper service structure and payment of martyrs’ package and other privileges to the heirs of the LHWs, who had died in the line of duty.
They threatened that the LHWs would stage a sit-in outside the Khyber Pakhtunkhwa Assembly if the government didn’t release their salaries within two weeks. 
They lamented that even in Ramazan LHWs went door-to-door to carry out vaccination, but the government showed indifference to resolving their problems amid spiraling inflation.
They demanded that senior LHWs should be promoted up to grade 15, and those who retired in 2020 onwards should be given the right to pension.
Akhtar Bibi and Abdul Sattar Hoti demanded an end to the policy of service termination in case health workers migrated from one district to another in a state of compulsion. They demanded the health department workers should also be given the right of transfer to any district on pattern of the education department.
They asked the health department to pay compensation to the health workers if they performed extra duties, including risk allowance.
The workers also demanded conveyance allowance, health professional allowance, saying the government should keep matriculation as basic qualification for recruitment of LHWs.
Published in Dawn, April 9th, 2023
",https://www.dawn.com/news/1746673/health-workers-call-for-payment-of-pending-salaries,peshawar,2023-04-09
