,Header,Summary,Detail,Link,Category,CreationDate
0,Sharing responsibilities and prosperity,Political polarisation has undermined national unity based on common values required to make steady economic progress and shared prosperity.,"The current economic and political mess is triggered by a murky set of rights enjoyed by the authorities embellished by major lapses owing to the corresponding blurred responsibilities.
And the fundamental rights of common citizens, which are needed to allow them to improve their quality of social life and livelihood, are stifled, which creates social exclusion.
In the last 75 years of independent existence, we have failed to resolve the issue of sharing rights and responsibilities equitably among the three tiers of government: federal, provincial and local. Political polarisation has undermined national unity based on common values required to make steady economic progress and shared prosperity.
The dismal conditions have activated over 100 civil society organisations to form a group — the Mediators — to organise a multi-party meeting to de-escalate mounting political tensions and find amicable solutions to the economic, political and judicial crisis. They have succeeded in enlisting the support of six coalition government partners. Persistent efforts are required to succeed.

In the last 75 years of independent existence, we have failed to resolve the issue of sharing rights equitably among the three tiers of government — federal, provincial and local

Their struggle should continue to realise a new social contract within the broad framework of the 1973 Constitution embedded with a long-term vision.
After a thorough study of the causes and effects of the first worldwide stagflation in the early 1970s, certain social scientists concluded that rights and responsibilities needed to be widely dispersed to avoid such crises in future. The then-emerging strategy for a people-centred economic development was set aside to pursue financial globalisation to combat stagflation which is now back with a vengeance.
In Pakistan, the consumer inflation rate has hit an all-time high of 35.4 per cent. The State Bank expects the inflation rate to remain high in the near term. The latest World Bank (WB) forecast is that economic growth will drop to 0.4pc in FY23 against 2pc, estimated in January, and 5pc achieved during FY22. The Asian Development Bank sees a growth rate of 0.6pc.
And as a result, WB projects that poverty measured at the lower middle-income poverty line ($3.65 per day 2017 purchasing power parity per capita) would push 3.9m people into poverty this fiscal year compared to FY2022.
The Federation of Pakistan of Chambers and Commerce and Industry (FPCCI) has rejected the policy rate by 100 basis points (bps) to an all-time high 21pc on April 4 aimed at taming super inflation. The FPCCI noted that the benchmark interest rate has risen by a whopping 1,125bps in the last 14 months but has failed to check inflation.
Inflation is stated to be the worst form of taxation as the authorities now collect more tax revenue from the surge in prices of goods and services than from economic growth.

Inequalities in human capital outcomes have widened over time between the rich and the poor, men and women, and urban and rural areas 

There are widespread complaints that the taxation system is imbalanced and unfair as the bulk of the revenue is collected from indirect taxes, burdening the poor and less privileged beyond their capacity to pay.
A Senate Committee was recently informed by Pakistan International Airlines that 15 of the airline’s pilots had left the country because of major pay cuts in the form of high taxes.
It is argued that taxpayers can be encouraged to voluntarily and fully discharge their tax liabilities if every rupee of tax collected is well spent. The mode of taxation and the way tax money is squandered does not enjoy social sanction.
And international lenders like the International Monetary Fund (IMF) and friendly countries are losing confidence in Islamabad’s ability to carry out its part of agreed programmes linked to any bailout. Only China has helped Pakistan to avoid debt default through $1.8 billion refinancing and a rollover of old debts of $2bn in March.
Facing the risk of foreign debt default and the delay in disbursement of the $1.1bn IMF tranche, frustrated Finance Minister Ishaq Dar says Pakistan must end its dependence on the Fund.
Dwelling on the issue of public debt, an eminent financial analyst finds no evidence yet of firm resolve in implementing major structural reforms for progressive resource mobilisation and eliminating extravagance in the current expenditure. This will continue to impact the current account deficit.
Pakistan has also been very slow in investing more in intangible assets, such as design, branding and software, than in tangible assets, like machinery, buildings and computers. According to noted scholars, this is the main source of long-term success in advanced countries.
That brings us to the issue of human resource development. Human capital makes up 61pc of Pakistan’s wealth, yet its level of human capital is among the lowest in the world, says the latest World Bank report. About 90pc of the formal and informal workers are employed in micro-enterprises.
Inequalities in human capital outcomes have persisted or widened over time between rich and the poor, men and women, and urban and rural areas and among the provinces.
The report suggests that if Pakistan could achieve its Human Capital Index value at the average level of South Asian peers and (no less importantly) bring the use of human capital to employment outside farming, the country’s GDP per capita would rise by 144pc, eight times more than business as usual.
Simultaneously, brain drain has assumed serious proportions. According to a media report quoting the Bureau of Emigration, 92,000 highly qualified professionals such as doctors, engineers, Information Technology experts and accountants left Pakistan in 2022, mainly for the Middle East, in pursuit of decent jobs and dignity.
The main reason behind poverty in the country is the non-utilisation of natural resources appropriately, says Federal Minister for Water Resources Khursheed Shah. He suggested that 15pc of the GDP should be annually budgeted for the construction of small and big dams. According to experts, mini-dams are an effective tool for poverty reduction.
Published in Dawn, The Business and Finance Weekly, April 10th, 2023
",https://www.dawn.com/news/1746751/sharing-responsibilities-and-prosperity,business,2023-04-10
1,When chai becomes a luxury,"As rupee depreciates and inflation spirals upwards, increasing prices of milk and sugar, the sweet hit of caffeine will continue to become less affordable.","

Source: PBS

 
If the country shares a single all-consuming addition, it is the morning cup of chai. But many do not have the willpower to, or even the luxury of, limit intake to a single cup given the necessary sugar and caffeine hit required to sustain momentum throughout the day.
Thus the increase in its price by 3x over the last decade, according to data by the Pakistan Bureau of Statistics, hits wallets harder than people realise.
A humble cup of everyday caffeine costs roughly Rs50. If a person consumes three cups a day, every day, the number multiplies to Rs4,500 a month. In a country where the minimum wage is Rs15,000, tea drinking can consume a whopping 30pc of income.
The largest importer of tea in the world, Pakistan’s annual imports are roughly half a billion dollars. To put things in perspective, if the entire country forwent drinking tea for two years, the amount saved would be roughly equal to the last tranche of the International Monetary Fund loan that the country is desperately trying for. No wonder Minister Ahsan Iqbal made the meme-worthy comment about decreasing tea consumption last year.
Instead of importing using borrowed money, Pakistan’s agrarian economy should consider growing local tea. There was a time when Pakistan was a bulk producer and exporter of tea, but the country’s split in 1971 left the country perpetually dependent on imports for its caffeine addiction.
Local farmers are not interested in cultivating arguably one of the most in-demand imports despite having some tracts of land suitable for growing tea leaves. Not only is the initial investment for plantations high, but it also takes years to recoup since it takes five to six years before the leaves can be picked to be made into tea.
Tea is imported, mostly from Kenya, and blended to create the distinctive taste and strength of each brand. The rest is all marketing.
As the rupee depreciates and inflation spirals upwards, increasing the price of milk, creamers and sugar, the sweet hit of caffeine in the morning will continue to become less affordable.
Published in Dawn, The Business and Finance Weekly, April 10th, 2023
",https://www.dawn.com/news/1746750/when-chai-becomes-a-luxury,business,2023-04-10
2,COMPANY NEWS,Bank Alfalah has announced a strategic partnership with the Network of Organisations Working For People With Disabilities Pakistan,"Al Falah and NOWPDP partnership
Bank Alfalah has announced a strategic partnership with the Network of Organisations Working For People With Disabilities Pakistan (NOWPDP), a non-profit organisation, to empower persons with disabilities by creating employment opportunities and promoting financial inclusion in the banking sector, as per a press release.
Under the partnership, Bank Alfalah will fund the running costs of the Centre of Excellence for Financial Inclusion (CEFI) against an amount of Rs4m. The centre’s goal is to improve financial inclusion and literacy among persons with disabilities by providing them with access to financial products and creating income opportunities.
Through this partnership, the bank will collaborate closely with NOWPDP to create specialised modules and provide training on financial management, budgeting, and saving at the centre.
Speaker at a UN session
Ayesha Amin, a social entrepreneur and a gender justice activist who is the Founder of Baithak - Challenging Taboos, was invited as an expert speaker to deliver a speech at the United Nations in New York City during the 67th Session of the Commission on Status of Women (CSW), as per a press release.
Ms Amin was part of an international experts panel for the first-ever Youth Interactive Dialogue at the most prestigious global conference for women celebrated by member nations across the world. Speaking at the Youth Interactive Dialogue, she represented Pakistan with honour and pride as she wrote the history in the CSW convening that formally included young leaders in official negotiations at the headquarters of the UN in the US.
Qistbazaar’s Rs1bn sale milestone
Qistbazaar, a leading e-commerce start-up, has achieved the milestone of Rs1bn in sales, in just 17 months since its establishment in November 2021, according to a press release. As a rapidly growing BNPL (Buy Now Pay Later) platform and working as a licensed NBFC (Non-Banking Finance Company), Qistbazaar is committed to uplifting the living standard of all citizens by making over 400 products easily accessible at affordable monthly instalments.
Over 15,000 customers have availed Qistbazaar’s plans in this period, purchasing mobile phones, refurbished laptops, refrigerators, LED TVs, motorcycles and ceiling fans being the most popular purchase items. Customers earning less than Rs45,000 per month constitute 57pc of total customers, with 70pc of customers being below 35 years of age. Micro-business owners like ‘thela walas’ and others comprise over 40pc of customers.
Unity Food and Nutshell
Unity Foods Limited, a leading food producer and supplier to the nation’s food security system entered into a Communications and Strategic Engagements partnership with Nutshell Communications (Pvt) Limited, as per a press release.
On the occasion, CEO Unity Foods Limited, Farrukh Amin, said, “We are committed to ensuring food security in our homeland under our slogan ‘Food for Life’ through empowering farmers, implementing digital disruption, and developing an efficient farm-to-fork supply chain across Pakistan. In this regard, our partnership with Nutshell Communications will promote our cause nationwide through its expertise in narrative building, leadership positioning, strategic engagements, media advocacy and creating mass awareness about our ambitions and initiatives.”
DIB’s Emaar branch
Dubai Islamic Bank inaugurated its state-of-the-art branch in Emaar, Karachi, to facilitate the residents of Emaar their banking needs in a Shariah-compliant manner, according to a press release. H.E. Bakheet Ateeq AL-Romaithi, Consul General of UAE, graced the occasion as the chief guest for the inauguration ceremony.
Vietnamese fish
After a meeting between HE Nguyen Tien Phong, Ambassador of Vietnam in Pakistan, Muddassir Riaz Malik, Director General Punjab Food Authority (PFA) and PFA Scientific Panel, PFA issued an official notification to food business operators that there is no restriction on the sale and usage of frozen fish, including Pangasius, subject to the fulfilment of the criteria/standards/specifications set by PFA, Nguyen Thi Diep Ha, Head of Trade Office of Vietnam in Pakistan said in a statement, as per a press release.
Published in Dawn, The Business and Finance Weekly, April 10th, 2023
",https://www.dawn.com/news/1746749/company-news,business,2023-04-10
3,Data points,"If you want to advance your career, you should learn to complain well.⁠ Stay silent and you’ll stew in resentment and let...","

An aerial photograph shows buildings and the top of a minaret in the rising water of an artificial lake which gradually submerges the village of Yusufeli as it retains the flow of the Coruh River in northeastern Turkey. The Yusufeli Dam and its Hydroelectric Power Plant Project in the Eastern Black Sea Region have started to hold water, with electricity production expected to start in May 2023. With a total water storage volume of approximately 2.2bn cubic meters, the double curvature concrete arch dam is Turkey’s highest, with a height of 275 meters.—AFP

 
Complain the right way
If you want to advance your career, you should learn to complain well.⁠ Stay silent and you’ll stew in resentment and let burgeoning problems fester. Speak up and you can alert leaders to hidden issues, fix the frustrating parts of your job and show you’re ready for the next step up. Of course, you have to do it gracefully — or risk becoming the department whiner.⁠ Some managers and employees are irked by negative performance reviews they see as unfair, as companies move on from an era of gentle feedback and look for new ways to cull the ranks.⁠ Approach bosses armed with potential solutions. Stick to the facts, and the impact the problem is having on the business. What opportunities are you having to forgo because of roadblocks? Lay out what you have tried so far to show you have taken initiative. Pitch your proposed fix, but leave the door open for their input.⁠
(Adapted from “How To Complain At Work The Right Way And Get Ahead,” by Rachel Feintzeig, published on March 27, 2023, by The Wall Street Journal)
Recycling pencils
Here’s a mind-boggling fact: over 13m hectares of forests are lost annually to deforestation. Forty-two per cent of those forests are used for manufacturing timber-based products that constitute around 18-20bn pencils. That’s an estimated 8m trees being chopped down every year just for writing utensils, while around 9m used pens are thrown away worldwide each year. All of this paper and plastic waste mostly ends up in landfills. Some plastic flows into water bodies where it breaks down, polluting the water and harming ocean life. When it comes to “saving the planet,” making any kind of impact can feel overwhelming. But there is something more of us can do to play a small but valuable part. Gather all the disposable pens and pencils you already own. Make it a point to use every writing utensil to its full capacity before disposing of it. In the future, invest in refillable pens or pencils that can be recycled.
(Adapted from a post by HBR Ascend, sourced from the United Nations)
Which will grow faster: India or Indonesia?
If you are looking for growth opportunities among the world’s 20 biggest economies, two stand out: India and Indonesia. The Asian giants, with a combined population of 1.7bn, are forecast by the IMF to be the two fastest-growing top-20 economies in 2023, and over the next five years. Both are pioneering strategies for getting richer in an era of de-globalisation, fraught geopolitics, automation and energy shifts, even as they seek a political formula that wins elections and avoids social unrest. Whether they succeed matters not just for their people and the investors betting many billions of dollars on them. It will also set an example for scores of other countries searching for new and reliable ways to develop in the 2020s and beyond.
(Adapted from “Which Will Grow Faster: India Or Indonesia?” published on March 29, 2023, by The Economist)
Consultants to influencers
First came the social-media influencer. Now some aspiring influencers are finding it more profitable to assist others in the industry.⁠ Being an influencer doesn’t always mean an easy supply of free swag, trips and brand-endorsement deals. Few come close to the earning power of TikTok stars such as Charli and Dixie D’Amelio. The hurdles to building a profitable personal brand online have spurred a cottage industry of influencer helpers, many of them one-time influencers who say they have found a more pragmatic way to be a social-media entrepreneur and do what they love. There is more consistent money in supporting social-media creators with services such as video editing, content strategising and matching them with promotion-seeking brands, say many influencer helpers.
(Adapted from “One Way To Actually Make Money On Youtube And TikTok: Get Behind The Camera,” by Kailyn Rhone, published on March 28, 2023, by The Wall Street Journal)
Published in Dawn, The Business and Finance Weekly, April 10th, 2023
",https://www.dawn.com/news/1746748/data-points,business,2023-04-10
4,Inflation myths of Ramazan,An increase in regional trade of in-demand food items and a more efficient supply chain could curb higher prices during the holy month.," 


There is a popular belief that inflation rises during Ramazan, with authorities solely fixated on stocking up and artificial price hikes. Prices tend to escalate during Ramazan, with a general surge of 31.5 per cent in recent months, and several food items experiencing up to a 60pc increase in prices from their pre-Ramazan levels.
While stocking up may be a contributing factor towards higher prices, it does not play a pivotal role. There are structural inefficiencies in the retailers’ supply chain and a lack of regional trade in Pakistan, which causes a price hike.
 
 

This phenomenon is simply an application of the law of demand and supply, which remains applicable during both Ramazan and Christmas, just as it does throughout the year. Only when the demand for a product exceeds its supply a disequilibrium arises, leading to fluctuations in price.
Some local intellectuals have cited Western countries where prices for certain goods remain unchanged or low during Ramadan as an argument against the idea that prices increase during religious holidays in Pakistan. However, this explanation overlooks the fact that Muslims are often in the minority and may not be as well-off as the majority population in these countries.

An increase in regional trade of in-demand food items and a more efficient supply chain could curb higher prices during the holy month

Conversely, during Christmas in these same countries, prices for certain goods often increase due to higher demand from consumers who celebrate the holiday such as gifts, decorations, and special foods and drinks associated with Christmas.
Similarly, during the holy month of Ramazan, certain food items and fruits are in high demand, particularly during the suhoor and iftar meals. Middle-class and lower-middle-class consumers tend to purchase these items on a daily basis during Ramazan, even if they cannot afford them at other times, as this month holds special significance for them.
In addition, well-off individuals and charitable organisations often donate food and fruits to those in need as an act of charity, particularly to the labour class working in metropolitan cities. This practice further increases the demand for specific food items and fruits during Ramazan by 30-40pc, while the supply remains constant, leading to a disequilibrium in the market between demand and supply.
The state can overcome the challenges related to the availability of food items and fruits during Ramazan by bolstering its regional trade with neighbouring countries, including India, Iran, Afghanistan, and China. By enhancing regional trade, Pakistan can potentially increase its access to a wider range of products, including cost-effective and high-quality food items and fruits.
This would enable Pakistan to effectively address supply-related issues during Ramazan and ensure a steady supply of products for the general public.
Regarding the solution in the domestic market, one approach that can potentially address the issue of high prices is to enhance the efficiency of the value chain of retailers and marts, eliminating the intermediary role. In Pakistan’s big cities, several retail stores and marts, including Canteen Stores Department, Hyperstar, Al-Fatah, Metro, Imtiaz Super Market, Save Mart, and Punjab Cash and Carry, have been established.
Despite their establishment, their supply chain system could be further optimised for efficiency. By employing an efficient method for collecting materials from farms and production centres, these stores can ensure that they maintain sufficient stock levels and can source materials at reasonable costs. This optimisation can subsequently lead to the reduction of prices, thus making products more affordable for the general public.
The Utility Stores Corporation has reported that there are over 4,000 retail stores located throughout the country. As it currently manages 108 of these stores, the Canteen Stores Department has become the second-largest retail chain in Pakistan.
However, most retail stores in the country rely on intermediaries, particularly Sabzi mandi and wholesalers, for their supply chain operations. These stores do not have their own farms and also lack a direct link with farmers. As a result, they have limited control over the quality and pricing of their products, as the middlemen influence these factors in the supply chain.
Let us examine the example of Tesco, one of the largest retailers in the United Kingdom, which maintains a complex and extensive supply chain that involves numerous suppliers, warehouses, and distribution centres.
In the backward chain, Tesco collaborates with thousands of suppliers worldwide to procure products, including farmers, manufacturers, and distributors. It owns several large warehouses where products are received from suppliers and stored until they are required in stores.
In the forward chain, Tesco utilises various transportation methods to transport products from its distribution centres to its stores. Products are then stocked on shelves in Tesco’s stores and made accessible to customers.
Tesco’s efficient supply chain allows it to provide less expensive products and make them available to a larger consumer base. This is possible because Tesco has invested heavily in its supply chain infrastructure. This is a lesson for retail stores in Pakistan to own efficient supply chains.
In a nutshell, regulatory bodies could concentrate on developing stronger economic connections with neighbouring countries to promote the smooth flow of goods across borders. This can assist in increasing the availability of food products, reducing transportation expenses, and enhancing market competition, all of which can contribute to lower prices.
An efficient supply chain of stores can also help to manage inflation in food products, which is frequently impacted by inefficiencies such as the involvement of middlemen and traders who add extra costs and complexity to the distribution process.
By eliminating these intermediaries, retailers can decrease expenses and pass on these benefits to consumers. Moreover, by upgrading logistics and distribution channels, retailers can guarantee that food products are transported quickly and efficiently from farms to markets, which reduces spoilage and waste.
The writer is an Assistant Professor (PhD Financial Economics) at the National University of Modern Languages, Islamabad. He can be reached at (abwahid.fms@gmail.com)
Published in Dawn, The Business and Finance Weekly, April 10th, 2023
",https://www.dawn.com/news/1746747/inflation-myths-of-ramazan,business,2023-04-10
5,PSX investment — an alien concept,The stock exchange is relatively untapped since capital flows to real estate and gold,"The financial markets of any country are essential for its economic growth. About one out of 100 people in Bangladesh invests in the stock market, while 4.5 per cent of India’s population is involved in the financial markets.
Considering these figures, it seems certain that the proportion of Pakistani investors would fall in the same range. However, the figure is quite dismal, with only 0.1pc of the population or about 250,000 people investing in the market. Among these, the number of active investors remains well below 100,000, compared with India, where the active investor count is above 10 million, followed by Bangladesh, with almost 2m people participating in financial markets.
Stock market investment remains an alien concept for the people. The first words that come to the minds of the masses when talking about the market include ‘gamble’, ‘conventional’ and ‘risky’. This owes largely to the malpractices of brokers amid weak controls, resulting in financial losses for investors during the 2008 crisis.
Lack of knowledge also remains at the heart of the problem. People don’t even know how to open an account with the broker, let alone make informed investment decisions. Even finance professionals find it cumbersome to get the hang of the fundamental and technical analysis of the shares, which impedes their market participation.

The stock exchange is relatively untapped since capital flows to real estate and gold

Discipline is imperative while investing in the stock market. However, herd behaviour is a norm prevalent in the Pakistani market, where investors try to follow the rally without conducting or studying proper research. As a result, they also panic at times of selling pressure leading to blood baths where people lose their fortunes and curse the market as a whole.
In addition, these investors spread their delusions, thus moulding the attitude of prospective investors against the market. As a result, the fact that stocks as an asset class are lucrative for long-term investing is overshadowed because of the investors’ uninformed and uneducated investment decisions.
Pakistani society is a consumption-oriented society with an abysmal savings rate. They prefer spending lavishly or investing in real estate and gold. The market capitalisation of the Pakistan Stock Exchange stood at Rs 7.5 trillion for FY22, and the value of the mutual fund industry at Rs1.2 trillion compared to Rs88tr for real estate and Rs21tr for bank deposits.
Religious factor also comes into play where the belief that stock investing doesn’t conform to Islamic teachings is ubiquitous in the minds of the general public.
Financial markets do not grow in solitude; they rely immensely on other financial sector components, including banks, asset management companies, and insurance companies. However, rather than exposing their assets to the stock market, these institutions prefer ‘playing safe’ and rely heavily on the public sector. Even individuals seem obsessed with investing in banks, government bonds and national-saving schemes, which prove detrimental to the health of the stock market.
The current precarious situation, however, induces hope about the immense potential of financial markets, which remains untapped. The foremost step is to create awareness among the masses about the mechanism for investing in the stock market.
Youth forms a predominant part of the country’s population and are more receptive to novel ideas, so they should be the prime target. The exchange and other players in the market should coordinate their efforts and partner with different universities to enhance awareness about the stock market and the investment discipline required to exploit returns from this investment avenue.
A viable and fruitful strategy would be to organise trading competitions where the participants are provided with virtual currencies along with fitful training sessions. This virtual trading with illusory currency will amplify their market and investment knowledge by practising investment in the real-time market. Top traders should be provided with cash deposited in their brokerage accounts to translate the entire experience into increased market participation.
The brokers also have a role to play in addressing low involvement. Special attention should be directed to investors who are a novice to ensure they do not suffer a setback owing to their lack of experience and knowledge. The brokers should also spread their networks to smaller cities and conduct awareness sessions in far-flung areas to allure the prospects.
Awareness should also be created about the Islamic index (KMI Index) to dispel the doubts of conservative investors. Attention should be directed towards digital marketing along with television and radio marketing to alter the immutable attitude of people as well as spread information among the masses.
The ten-year returns (year-to-date from CY2011–CY 2021) remain rosy for the stock market (14.55pc) compared to gold (6.67pc), Defence Saving Certificates/Special Savings Certificates (9.38pc), Pakistan Investment Bonds (8.98pc), t-bills (7.6pc) and deposits (5.01pc).
Special attention should be directed towards this potent sector to ensure that the prospects do not remain bleak and the economy benefits from the increased liquidity in the country’s financial markets.
The writer is part of the Capital Market Future Leaders Programme
Published in Dawn, The Business and Finance Weekly, April 10th, 2023
",https://www.dawn.com/news/1746746/psx-investment-an-alien-concept,business,2023-04-10
6,India’s online grocery market,"The gross merchandise value, the total value of goods sold via e-commerce platforms, rose from $1.7bn in 2019 to ...","The gross merchandise value, the total value of goods sold via e-commerce platforms, rose from $1.7bn in 2019 to $8bn in 2022 and is expected to reach $19 billion in 2025, according to a study by consulting firm Redseer
Published in Dawn, The Business and Finance Weekly, April 10th, 2023
",https://www.dawn.com/news/1746745/indias-online-grocery-market,business,2023-04-10
7,Beauty over specs,"Product aesthetics have been linked to roughly 60pc of purchasing decisions in the automotive industry, according to...","Product aesthetics have been linked to roughly 60pc of purchasing decisions in the automotive industry, according to a paper co-authored by MIT Sloan researcher John Hauser
Published in Dawn, The Business and Finance Weekly, April 10th, 2023
",https://www.dawn.com/news/1746744/beauty-over-specs,business,2023-04-10
8,Billionaire galore,"At 735, the United States has the most billionaires in the world that are worth a collective $4.5tr, according to...","At 735, the United States has the most billionaires in the world that are worth a collective $4.5tr, according to Forbes
Published in Dawn, The Business and Finance Weekly, April 10th, 2023
",https://www.dawn.com/news/1746743/billionaire-galore,business,2023-04-10
9,Baby powder hazards,Johnson & Johnson has agreed to pay $8.9bn to settle all current and future claims over 25 years against...,"Johnson & Johnson has agreed to pay $8.9bn to settle all current and future claims over 25 years against allegations that the company’s baby powder and other cosmetic talc products allegedly cause cancer, according to ABC News
Published in Dawn, The Business and Finance Weekly, April 10th, 2023
",https://www.dawn.com/news/1746742/baby-powder-hazards,business,2023-04-10
