Header,Summary,Detail,Link,Category,CreationDate,Pic_url
'Extraordinary intervention': Cabinet accuses CJP of 'misconduct',Federal cabinet condemns CJP's 'interference in strongest possible terms',"The federal cabinet, chaired by Prime Minister Shehbaz Sharif, has issued a strong condemnation against Chief Justice of Pakistan (CJP) Umar Ata Bandial for his ""extraordinary intervention"" in the arrest of former premier and Pakistan Tehreek-e-Insaf (PTI) Chairman Imran Khan. The cabinet deemed the intervention as ""misconduct"" on the part of the top judge.
According to the federal cabinet, Imran Khan's arrest was carried out in compliance with the Constitution, law, and legal procedures in the ""open and shut case of corruption and corrupt practices"".
The federal cabinet reiterated its stance that the CJP's interference was unjustifiable and condemned it in the strongest possible terms. It denounced the CJP's interference as ""misconduct"".
Read more: Court grants Imran two weeks interim bail in Al-Qadir Trust case
In the federal cabinet meeting, the ruling alliance not only condemned the CJP’s act of providing ""relief"" to Imran but also “strongly condemned” the CJP’s words, especially, when he addressed to Imran by saying: “Good to see you”.
The cabinet said that the expression “good to see you” by a person sitting on the highest seat of justice – CJP – for an accused arrested in a corruption case was “a shameful stain” on the forehead of the justice.
The cabinet statement read that the history of Islam, the civilised world, and judicial forums attest that such behaviour is unbecoming of any judge.
Case against Imran
The government’s reaction has come a day after CJP Umar Ata Bandial led a three-member bench that granted “extraordinary” relief to the PTI chairman in an alleged multi-billion corruption case of the National Accountability Bureau (NAB).
Also read: PDM announces protest in front of SC on Monday
On Thursday, a three-member bench led by CJP termed Imran’s arrest “invalid and unlawful”, directed the law enforcers to provide him “foolproof” security until his appearance before the Islamabad High Court (IHC), “requested” Imran to condemn the violence that took place following his arrest from IHC premises and asked him to consider opening up dialogue with political opponents.
The former premier was arrested on May 9 from the premises of IHC only to be released on May 11 by the Supreme Court. Rangers on orders from NAB had arrested Imran from the IHC over allegations that he looted Rs50 billion from the national treasury along with a property tycoon and got the Al-Qadir University Trust registered on 450-kanal of land.
Though, IHC Chief Justice Aamer Farooq had termed Imran's arrest as “lawful”, the top court overturned the decision by declaring the same as “unlawful”, noting that the entire process needed to be backtracked since a citizen enjoyed certain guarantees, particularly access to justice, on the court premises.
Meanwhile, while responding to the letter written by President Dr Arif Alvi to PM Shehbaz following Imran’s arrest, the cabinet not only condemned the move but expressed that President Alvi’s letter was proof that he was working more as a party worker than the head of the state.
Once again, the cabinet noted, President Alvi has proved his subservience to Imran instead of the Constitution and Pakistan, saying the person sitting in the office of the President has once again violated his oath.
In his letter to PM, President Alvi wrote that he was “shocked” over the manner in which ex-PM was arrested from inside IHC premises, saying he was shocked to see the video of the incident showing the abuse on Imran as he is a popular leader and the head of a major political party.
Earlier in his address, PM Shehbaz disapproved the ""double standards of justice"" meted out to the PTI chief in the cases against him, adding that the coalition government would take every step to ensure the rule of law in the country.
The PM said that the other political leaders in the country faced trials and tough handling while Imran was given “privileged treatment”. He termed the Supreme Court’s relief to Imran as “nothing but an NRO” – (National Reconciliation Order), the one given by the ex-military ruler Gen Pervez Musharraf to the PML-N and PPP leadership in 2007.
At the outset of the federal cabinet meeting, Law Minister Azam Nazir Tarar briefed the meeting on the overall political situation as well as about the PTI chairman’s arrest, subsequent release and the protest that took place in between his arrest and release.
Following Imran’s arrest, the protesters took to the streets and attacked, ransacked and torched key government and military buildings, including the General Headquarters (GHQ) and the residence of the Corps Commander Lahore. Radio Pakistan building in Peshawar was also torched.
During the protest, at least six people lost their lives, dozens of others were injured and hundreds of PTI supporters were detained, including key PTI leaders. Though Imran was given relief by the Supreme Court as well as given bail by the IHC on Friday till May 18, the key leadership and PTI workers remained behind bars.
",https://tribune.com.pk/story/2416422/extraordinary-intervention-cabinet-accuses-cjp-of-misconduct,Live,2023-05-12,https://i.tribune.com.pk/media/images/Cabinet-meeting1683903317-0/Cabinet-meeting1683903317-0.jpg
Social media blackout boosts Imran Khan's momentum,"Experts say govt ban did more harm than good as PTI supporters adapted quickly, using VPNs to skirt restrictions","A state-imposed social media blackout to quell massive protests around the arrest of former prime minister Imran Khan has instead fuelled momentum for him, analysts say.
Moments after Khan was detained by a swarm of paramilitary Rangers on Tuesday, the interior ministry restricted nationwide access to Twitter, Facebook and YouTube.
Mobile data coverage -- used by political activists to organise protests on messenger apps such as WhatsApp, but with far larger effects on the wider populace -- was also cut.
But Khan's supporters quickly found workarounds, leaving social media awash with calls for protest and shaky handheld clips of thousands of demonstrators clashing with police.
The move was a ""crass miscalculation"" by authorities, according to Shahzad Ahmad, director of digital rights organisation Bytes for All. ""It's only going to work against them.""
Read more: Court grants Imran two weeks interim bail in Al-Qadir Trust case
Leading his Pakistan Tehreek-e-Insaf (PTI) party in opposition, Khan remains staggeringly popular and has crafted a campaign accusing the parties and army of colluding to keep him out of power, lock him up and even assassinate him.
Blocking social media only fuels the PTI's argument, said digital rights activist Usama Khilji.
""It's adding to their popularity because it's being seen as a move to curtail basic rights of citizens.""
On Thursday, the Supreme Court declared Khan's arrest invalid, but the political turmoil has continued, and the internet restrictions remain in place.
Ahmad said the authorities who ordered the ban are ""dinosaurs"" who ""do not have an idea how rapidly things are changing"".
""They think in the mindset of absolute power,"" he said.
But internet and social media use has exploded in Pakistan in recent years, fuelled by the widespread availability of cheap smartphones.
Also read: Int'l body for mobile ecosystem expresses concern over internet shutdowns
Mobile broadband subscribers jumped from 56 million in 2018 to 116 million in 2022 -- around half of the country -- according to the telecom regulator.
Internet censorship has been common in recent decades, even under Khan's government.
But a young, tech-savvy citizenry has adapted quickly, using Virtual Private Networks (VPNs) to disguise their locations and skirt restrictions, Ahmad said.
Despite the ban, Twitter ""was still very active in the country because people had their VPNs ready,"" he added.
The mobile data outage, however, cannot be circumvented in that way.
In Peshawar, PTI supporter Ikram Khan told AFP that party activists were expecting ""a complete (internet) shutdown"", so they hurriedly transferred mobile phone clips to computers equipped with wired internet connections and VPNs.
There was a delay in uploading the videos to Instagram and Twitter, and streaming service Facebook Live could not be used, but ""we still did our job well"", the 31-year-old told AFP.
""We know how to handle the situation.""
The internet shutdown has triggered international condemnation.
Amnesty International Pakistan campaigner Rimmel Mohydin told AFP it was ""a clear human rights violation"".
It can ""facilitate further violations of human rights, including impeding the documentation of unlawful use of force,"" she said.
Such remarks give credence to PTI claims they are being silenced, according to analyst Hasan Askari.
""The international concern definitely goes in their favour,"" he said.
Khan came to power in 2018 marketing himself as a political outsider, riding a pioneering wave of social media enthusiasm to challenge the country's two main dynastic parties, who between them have ruled Pakistan for decades.
Last April, after having lost the key support of Pakistan's powerful military -- which has itself ruled the country directly for more than three decades -- he was ousted in a no-confidence vote.
The ensuing political chaos has exacerbated an economic downturn that has seen decades-high inflation, the rupee tumbling to a record low Thursday, and deadlocked bailout negotiations with the International Monetary Fund.
The latest internet outage has added to those woes, costing Pakistan as much as $53 million a day according to global internet monitor NetBlocks, with mobile data coverage powering economic transactions, including credit and debit card point-of-sale terminals.
A shaky coalition government now faces the prospect of an electorate galvanised by simultaneous political and economic crises ahead of elections due no later than October.
The blackout ""is quite disproportionate"" said Khilji. ""It does show a panic where the state is sort of caught off guard and it seems like they didn't really plan this well.
""The biggest issue is that people are already frustrated with the economic situation and this just adds on top of that,"" he said.
""It's giving more of a reason for citizens to be unhappy with the current government.""
",https://tribune.com.pk/story/2416410/social-media-blackout-boosts-imran-khans-momentum,Live,2023-05-12,https://i.tribune.com.pk/media/images/AFP1536316820503099885707067162515328489231---11683895785-0/AFP1536316820503099885707067162515328489231---11683895785-0.jpg
PTI supporters begin gathering at Srinagar Highway in Islamabad,Police say protestors set vehicle ablaze; clashes reported as security personnel fire tear gas to disperse crowd,"Pakistan Tehreek-e-Insaf (PTI) workers and party supporters began to gather on Srinagar Highway near G-13 in Islamabad on Friday, where party chief Imran Khan is reportedly to address them after the Islamabad High Court (IHC) hearing.
Clashes were reported between the protestors and the Islamabad Capital Territory (ICT) police. The police resorted to tear gas shelling to disperse the crowds as protestors pelted stones at them.
According to the ICT police, the demonstrators also set a vehicle on fire on Srinagar Highway.
مظاہرین نے سری نگر ہائی وے پر ایک گاڑی کو آگ لگادی ہے۔#ICTP pic.twitter.com/2kFhyHKnmL
Social media users also reported tear gas shelling and a heavy police contingency on the main road that passes through the federal capital.
Heavy firing, Shelling on the Srinagar Highway Islamabad and a large number of Punjab Police, Rangers outside the Islamabad High Court are conspiring to arrest #imran_Khan in bogus cases once again.#میں_بھی_عمران_خان_ہوں pic.twitter.com/rpOvAMUIBx
Friday marks the fourth consecutive day since PTI supporters have been protesting party chairman and deposed premier Imran Khan's arrest - in the Al-Qadir Trust case.
The Supreme Court (SC) had deemed the arrest illegal a day earlier, ordering Imran to approach the IHC for bail in the case.
The IHC today granted the former premier two-week interim bail.
Read Govt warns PTI of 'strict action' over protests
Ahead of the crucial hearing, PTI leader Hammad Azhar released a short video on Twitter and urged the party's supporters to reach Islamabad.
""Everyone should reach Islamabad and safeguard themselves from illegal arrests,"" said the PTI leader.
In a statement being shared on social media, PTI leader Shehryar Khan Afridi warned that ""if something happens to Imran Khan, then we will destroy ourselves but will not let you people live"".
In the same breath, he said, ""we are peaceful"" but urged the government ""not to take decisions that will render the situation out of control"".
Notably, many of the PTI's senior leaders are in police custody amid an ongoing crackdown, with several other protestors also rounded up for rioting.
",https://tribune.com.pk/story/2416397/pti-supporters-begin-gathering-at-srinagar-highway-in-islamabad,Live,2023-05-12,https://i.tribune.com.pk/media/images/Srinagar-Highway-PTI-protest1683888300-0/Srinagar-Highway-PTI-protest1683888300-0.png
Fighting continues at FC camp in Balochistan after attack: ISPR,Two soldiers among four killed in ongoing operation to capture attackers,"A group of terrorists attacked a security facility in Balochistan on Friday and an operation to capture the culprits was currently ongoing, the military's media wing reported.
The Inter-Services Public Relations (ISPR) revealed that a Frontier Corps (FC) Camp in Muslim Bagh area in Northern Balochistan was attacked In the early hours of Friday morning.
""Commander 12 Corps is supervising the security forces operations being conducted at Muslim Bagh area in Balochistan where the terrorists have been cornered into a building complex,"" the military sources said. adding that at least two of them have already been killed.
""The security forces continue to maintain pressure on the terrorists,"" the statement added, saying that a ""heavy exchange of fire is underway.
Read Bilawal, Muttaqi agree to enhance counter-terror coordination
""In the process of clearance operation, two soldiers have embraced shahadat (martyrdom) while another three are injured.""
Two weeks ago, seven terrorists were killed as security forces gallantly fought off three assaults within a short span of time in the night between April 28 and 29 in Lakki Marwat, the ISPR said.
Three soldiers were also martyred in fierce exchange of fire during the encounters with terrorists in Lakki Marwat town and the general area of Amir Kalam and Tajbi Khel.
During his maiden press conference, on April 25, as director general of the ISPR, Maj-Gen Ahmed Sharif Chaudhry had revealed that a total of 8,269 intelligence-based operations (IBOs) had been conducted since January as a result of which 1,535 terrorists had been killed or apprehended.
Of these, 4,040 IBOs were conducted in Balochistan, another 3,591 in K-P, 119 in Punjab and 519 operations were conducted in Sindh. On average, over 70 IBOs were being conducted daily by the army, police and LEAs since January, he continued.
",https://tribune.com.pk/story/2416394/fighting-continues-at-fc-camp-in-balochistan-after-attack-ispr,Live,2023-05-12,https://i.tribune.com.pk/media/images/1342044-quetta_frontiercorps_fc_afp-1488343547/1342044-quetta_frontiercorps_fc_afp-1488343547.jpg
Int'l body for mobile ecosystem expresses concern over internet shutdowns,"GSMA pens emergency letter to IT minister, demands restoration of broadband services","A global organisation of mobile ecosystem, Groupe Speciale Mobile Association (GSMA), has expressed concern over the shutdown of broadband internet in Pakistan.
According to Express News, in an emergency letter to Federal Minister of Information Technology and Telecommunication Syed Aminul Haq, the GSMA has pressed the government to put an end to internet disruptions.
The mobile broadband services have remained suspended for a consecutive fourth day in several parts of the country in the aftermath of the riots triggered by the arrest of Pakistan Tehreek-e-Insaf (PTI) Chairman Imran Khan on May 9.
Condemning the decision to suspend internet services, the international organisation has said that the suspensions have impacted both consumers and businesses alike.
Prolonged internet outages are causing problems for citizens' health, education, social and economic well-being, and business and investment in the telecom sector have been severely affected, the GSMA reportedly said.
Read Businesses, civil society condemn internet disruption in Pakistan
The global mobile ecosystem organisation also stressed that the disruptions are affecting the investment and economic management measures for Pakistan.
It urged the government to proceed with such measures with caution and restrict shutdowns to only unavoidable circumstances, in accordance with relevant laws, most notably, the International Human Rights Convention and the ITU Constitution.
It may be noted here that the disruptions to internet services have caused a loss of at least Rs1.6 billion to telecom companies, while the government has suffered a loss of Rs570 million in revenue from telecom companies as well.
The suspension is affecting e-commerce, online services, home delivery and ride-hailing apps too.
The matter is also pending before the Lahore High Court and the court has sought replies from the federal government and Pakistan Telecommunication Authority (PTA) by May 22 in a plea seeking directions to restore the internet services and resume the operations of social media platforms including WhatsApp, Facebook, Twitter and Instagram.
However, LHC Justice Sheikh had turned down the petitioner’s request to grant interim relief by immediately passing directions to restore the internet services.
",https://tribune.com.pk/story/2416387/intl-body-for-mobile-ecosystem-expresses-concern-over-internet-shutdowns,Live,2023-05-12,https://i.tribune.com.pk/media/images/11677358495-0/11677358495-0.jpg
IHC stays criminal proceedings against Imran in Toshakhana case,"Court issues notices to ECP, other respondents; schedules hearing for June 8","The Islamabad High Court (IHC) ordered a local court on Friday to stop indictment proceedings against Pakistan Tehreek-e-Insaf (PTI) chief and former premier Imran Khan in the Toshakhana (gift repository) case.
Imran had filed a plea with the high court challenging the maintainability of criminal proceedings against him in the Toshakhana case, filed by the Election Commission of Pakistan (ECP).
IHC Chief Justice Aamer Farooq presided over the hearing and issued the stay order, as well as notices to the ECP amongst other respondents.
The court has postponed the proceedings until next month, and issued notices to Imran on all four of his applications as well.
Notably, the applications had come as the PTI chief was indicted in the case two days ago. The trial court had summoned the witnesses on May 13.
The indictment hearing for the Toshakhana case had been held at the New Police Line Guest House after the hearing for the Al-Qadir Trust case, in which the PTI chief was arrested from the Islamabad High Court (IHC) on May 9.
Speaking to the media after the hearing of the case, Imran’s lawyer Sher Afzal Marwat had said that the former prime minister and lawyers had boycotted the indictment proceedings.
He had maintained that the court indicted the PTI chief despite his expressing a lack of confidence in the judge hearing the case.
Read SC order on Imran's arrest to set legal course
It may be noted here that on May 5, additional sessions judge Humayun Dilawar had dismissed two petitions filed by the PTI chief challenging criminal proceedings against him in the Toshakhana case after hearing arguments from both sides.
During the proceedings at the IHC today, Imran's lawyer Khawaja Haris argued that he ECP's complaint is not admissible because no letter has been submitted by the electoral watchdog to appoint a competent authority.
""The ECP has only asked its office to file the complaint, and a complaint filed without the competent authority cannot be heard,"" he said, adding that ""complaints cannot be sent for criminal action after the prescribed time fo 120 days.""
The lawyer informed the court that the issue had been raised with the trial court as well, however, the judge had said that they will be addressed during the evidence stage of the proceedings.
""Our argument is that no further action can be taken on the complaint,"" he stressed.
He further said that ""we are objecting to whatever is on record. The matter of criminal proceedings should first go to the magistrate and then to the sessions court.""
""The complaint has to be first filed with the magistrate and then he has to record the opening statement and send it to the sessions court,"" Imran's lawyer said.
Upon hearing the arguments, CJ Farooq issued notices to concerned parties and postponed the proceedings until June 8.
",https://tribune.com.pk/story/2416376/ihc-stays-criminal-proceedings-against-imran-in-toshakhana-case,Live,2023-05-12,https://i.tribune.com.pk/media/images/2465339-ihctoindictformerpmimrankhanincontemptcase1680695409-0/2465339-ihctoindictformerpmimrankhanincontemptcase1680695409-0.jpg
"Crackdown continues as PTI's Dr Yasmin Rashid, Shireen Mazari arrested",Party leaders rounded up ahead of Imran's IHC hearing; PTI top brass land in Adiala Jail,"Two more senior Pakistan Tehreek-e-Insaf (PTI) leaders Dr Yasmin Rashid and Dr Shireen Mazari were arrested in Lahore and Islamabad, respectively, in the wee hours of Friday morning.
Our SVP Dr Shireen Mazari is being abducted in this precise moment. Police has also entered with guns her home, reaching a new low. Extremely shameful! pic.twitter.com/JKuqE1uosm
The arrests are the latest in an ongoing crackdown against the party leadership.
Top PTI leaders, including Shah Mahmood Qureshi, Fawad Chaudhry, Asad Umar and Omer Cheema, were taken into custody within 24 hours and transferred to Adiala Jail under detention for 15 days following countrywide protests against former prime minister Imran Khan’s arrest.
Qureshi was arrested in the wee hours of Thursday after the police raided Gilgit-Baltistan House in Islamabad under Section 3 of Maintenance of Public Order (MPO).
The security personnel rounded up over 1,800 PTI leaders and supporters since the protests began on Tuesday when Imran was arrested from the Islamabad High Court (IHC) premises. However, the Supreme Court ordered his immediate release on Thursday evening in the Al-Qadir Trust case.
The Islamabad police spokesperson had confirmed the arrests, adding that Imran’s spokesperson Musarrat Jamshed Cheema, her husband Jamshed Cheema, Malika Bukhari and Senator Falaknaz had also been taken into custody under Section 3 of the MPO and transferred to Adiala Jail, Rawalpindi under 15-day detention.
Read Audio leaks reveal PTI leadership's involvement in attack on army installations
However, the arrests of Dr Yasmin Rashid and Dr Shireen Mazari have come after the country witnessed a break in the violent protests last night as the PTI hailed the Supreme Court's verdict to release their party chairman.
“The leadership of the PTI will decide the next political course of action after consultation. The PTI believes in peaceful political struggle. The PTI hopes that all institutions will strictly follow the orders of the Supreme Court and take care of the security of chairman Imran Khan,” a statement issued by the PTI said.
Details of PTI's Senior Vice President Shireen Mazari's arrest still remain unclear.
The party issued a statement on social media condemning the arrest but did not provide further information on the issue.
A former PTI lawmaker Kanwal Shauzab said that ""50 Islamabad police personnel raided Shireen's house at 3 am and arrested her. She is a brave leader of the PTI and a patriotic Pakistani and this is the crime for which she has been taken into custody"".
رات کے 3 بجے @ShireenMazari1 کے گھر پر 50 اسلام آباد پولیس اہلکاروں نے دھاوا بولا ہے اور انھیں گرفتار کرلیا ہے شیریں مزاری PTIکی دلیر لیڈر اور محب وطن پاکستانی ہیں اور یہی انکا جرم ہے جس پر گرفتاری ہوئ ہے۔اللہ پاکستان کو ظالموں کے ظلم سے بچائے#BehindYouSkipper @PTIofficial pic.twitter.com/3unOAZxCIr
PTI leader Andalib Abbas revealed that Dr Yasmin Rashid was hiding in Defense or Cavalry Ground and she was abducted at 6:30 in the morning.
She said that her colleague had been absent from her home for several days due to police raids.
""Two days ago, Dr Yasmin Rashid's 80-year-old husband and 76-year-old brother-in-law were also arrested from their family residence,"" she said.
While the brother-in-law still remains in custody, Dr Yasmin Rashid's husband has been released due to his poor health, the PTI leader said.
""Forty to 50 people came with four to five vehicles to arrest Dr Yasmin,"" Abbas added.
It may be noted that Dr Yasmin was to make her way to Islamabad with other party workers ahead of Imran Khan's hearing.
Notably, the PTI chief is scheduled to appear before the IHC at 11:00 am for the SC-mandated hearing of his writ petition filed to challenge the NAB action against him in the Al-Qadir Trust Case.
",https://tribune.com.pk/story/2416366/crackdown-continues-as-ptis-dr-yasmin-rashid-shireen-mazari-arrested,Live,2023-05-12,https://i.tribune.com.pk/media/images/Yasmin-Rashid-&amp;-Shireen-Mazari1683868758-0/Yasmin-Rashid-&amp;-Shireen-Mazari1683868758-0.jpg
Govt action to arrest Imran backfires,SC orders to release PTI chief serve major blow to ruling coalition,"Imran Khan’s release following a brief detention on Thursday is seen as a major blow to the ruling alliance which was hoping to use the arrest to bolster its political capital but found itself on the defensive again, lamenting that the Pakistan Tehreek-e-Insaf (PTI) party once again got preferential treatment.
In a dramatic turn of events, the PTI chairman was arrested on May 9 from the premises of the capital’s high court only to be released on May 11 by the Supreme Court.
Rangers on orders from the National Accountability Bureau (NAB) had arrested Imran from the Islamabad High Court (IHC), over allegations that he looted Rs50 billion from the national treasury along with a property tycoon and got the Al-Qadir University Trust registered on 450-kanal of land.
In between, protesters took to the streets, and key government and military buildings were attacked, ransacked and torched, at least six people lost their lives, dozens of others were injured and hundreds of PTI supporters were detained, including key PTI leaders.
Though the period between the arrest and release has highlighted the deepening political polarization in the country, some experts believe that the events of May 9 – which was declared as history’s dark chapter by the army – will have a negative impact on the PTI-establishment relationship.
Pakistan Institute of Legislative Development and Transparency (Pildat) President Ahmed Bilal Mehboob feels that “the events of 9th May following the arrest of Imran would have profound and adverse impact on the future relationship of the establishment and the PTI.”
The Pildat chief said the rampage of PTI supporters and their attack on military installations and properties will eventually harm the public standing of the party.
The inability of the security agencies for whatever reason to protect the symbols of the military might such as the GHQ, the Lahore Corpse Commander’s residence and other properties has also dented the image of the military’s invincibility.
 “Unless the perpetrators are quickly identified, prosecuted and punished, the wounds inflicted on May 9 will not heal,” he said.
Commenting on the arrest of Imran, Mehboob said the manner of arresting the PTI chief was inappropriate and it was correct on the part of the IHC to initiate judicial enquiry against the police and other agencies responsible for that.
However, he added, the SC decision to release Imran would give an opportunity to the Pakistan Muslim League-Nawaz (PMLN) and other ruling parties to claim that courts are applying double standards.
Abdul Moiz Jaferii, a lawyer and political analyst, said the government has been given an excuse to keep delaying elections. The development has also allowed the government to pit the establishment against Imran Khan directly.
Jaferii said the recent events have also proven to “the anti-Khan team” that they have very little options to shut him out of the political process because he is too popular to take a risk against.  “If polls were held tomorrow, the PTI would make a clean sweep.”
Though the government has lost much of its political capital after coming into power by ousting ex-premier Imran Khan through a vote of no-confidence in April 2022, it is still struggling to take advantage of the situation by undermining Khan’s credibility.
As the country heads to the next polls, the power politics-based brutal struggle among the political forces has raised questions about the future of democracy in the country.
",https://tribune.com.pk/story/2416359/govt-action-to-arrest-imran-backfires,Live,2023-05-12,https://i.tribune.com.pk/media/images/PDM1680505618-0/PDM1680505618-0.png
SC order on Imran's arrest to set legal course,Legal experts weigh in on far-reaching impact of ruling on every court of the country,"The 'extra ordinary' bail relief granted to former prime minister Imran Khan by the Supreme Court has stirred a legal debate, with experts seeing it as a victory for the battle-hardened PTI chief.
Though the Islamabad High Court will decide about the PTI chief’s pre-arrest bail today (Friday), Imran is lucky to grab the attention of the apex court.
A lawyer believes that the PTI chief has emerged victorious as the apex court proceedings will have a far-reaching impact on every court of the country, adding that now all the lower courts, including the high courts, will stand up against state institutions that have been active against Imran since April last year.
The lawyers agree with the court order wherein it is stated that the manner of execution of the arrest warrant issued by the National Accountability Bureau (NAB) chairman dated May 1, 2023 in the Al-Qadir Trust case within the premises of the IHC against the petitioner is invalid and unlawful.
The execution of the said warrant violated the petitioner’s right of access to justice and the sanctity and safety of the court as he had already surrendered to the court for seeking judicial relief.
“In this regard, the fundamental rights of the petitioner under articles 4, 9, 10-A and 14 of the Constitution of the Islamic Republic of Pakistan have been infringed"", says the written order.
However, one section of the lawyers has strong reservations over the manner wherein the bench addressed Imran during the hearing.
Imran who was produced before the bench was visibly “down”.
The judges wanted him to deliver a message to his party supporters through the media for restoring peace in the country. Imran, however, said that he is totally aloof about the happenings all over the country after his arrest.
Chief Justice of Pakistan Umar Ata Bandial who welcomed him on the rostrum also urged Imran to resume political dialogue in national interest.
The government, especially the establishment's, position has weakened after the relief given to Imran at this critical time.
It is learnt that the government functionaries are in shock over the outcome of the SC hearing. They were not expecting that the SC will go too much in favour of Imran.
The hearing will also affect the sentiments of military officials who are being targeted by the PTI supporters since the arrest of their leader on May 9. However, it is not clear what kind of reaction can come now.
The SC hearing will also affect the working of the IHC wherein controversy has already started over the release of two judges’ ruling in the Tyrian White case without the permission of the chief justice.
The lawyers appreciate the SC for discontinuing the precedent wherein accused persons could have been arrested within the court premises without getting access to justice.
They, however, say that now the SC should compel Imran to sit for dialogue in order to set the rules of the game before the elections.
Likewise, the judges should end the perception that they are shaping national politics in order to secure judicial politics.
The inclusion of Justice Athar Minallah in the special bench has also made a difference in Thursday’s hearing.
Justice Minallah is consistent in providing relief to the accused persons in matters related to civil liberties.
He has also an emotional attachment to the IHC wherein he worked as the chief justice for almost four years.
Justice Minallah, through judicial orders, had restored the confidence of every political party in the capital’s high court during his tenure.
A lawyer believes that the sanctity of the IHC premises was violated by arresting Imran from there, therefore his involvement in this matter was understandable.
If the IHC grants pre-arrest bail, the government has various options to deal with Imran as it can arrest him under Section 3 of the Maintenance of Public Order (MPO) from Islamabad.
Section 3 MPO stated: “The government, if satisfied that with a view to preventing any person from acting in any manner prejudicial to public safety or the maintenance of public order, it is necessary to do, may, by an order in writing, direct the arrest and detention in such custody power to arrest and detain suspected persons.”
CJP Bandial was firmer during the hearing. It also reflects how the unity of the court gives a powerful impact on the public.
",https://tribune.com.pk/story/2416356/sc-order-on-imrans-arrest-to-set-legal-course,Live,2023-05-12,https://i.tribune.com.pk/media/images/SC1680769665-0/SC1680769665-0.jpg
NAB seeks time to submit report on M6 fund embezzlement,Anti-graft body fails to submit reference 7 months after multibillion rupees corruption surfaced,"Almost seven months after the authorities unearthed multi-billion rupees corruption in the land acquisition for Sukkur-Hyderabad M6 motorway, the National Accountability Bureau (NAB) is yet to submit its final reference in the accountability court. 
During the hearing of the case on Thursday, the judge Mehboob Ali Dayo asked the investigation team of the bureau about the reference. 
On which, the investigation team informed the court that it will take some more time to complete the reference as the chairman NAB has directed them to combine the investigations of the land scam in Matiari and Noushehro Feroze districts. 
After that development, the director general NAB Karachi has been leading the investigation. 
The deputy commissioners and assistant commissioners of the two districts, officials of Sindh Bank and private persons have been accused for the alleged embezzlement of funds.
Reportedly, at the last hearing of the case held on April 28, the court had directed the NAB to file reference on May 25. 
DC of Matiari district, Adnan Rasheed, former assistant commissioner Saeedabad taluka, Mansoor Ali Shah, former Sindh Bank manager, Tabish Ali Shah, Ashiq Kaleri and others who have been dismissed from the service, were produced before the court at the hearing. 
Kaleri's counsel advocate Ayaz Tunio pleaded the court to release his client who submitted Rs1.249 billion plea bargains at the last hearing.
He claimed that a meeting of the bureau has accepted the plea under which seven immovable assets worth over Rs633 million have been frozen by NAB after the disclosure by Kaleri.
Published in The Express Tribune, May 12th, 2023.
",https://tribune.com.pk/story/2416355/nab-seeks-time-to-submit-report-on-m6-fund-embezzlement,Live,2023-05-12,https://i.tribune.com.pk/media/images/motorwaybikesriding1668869525-0/motorwaybikesriding1668869525-0.jpg
