,Header,Summary,Detail,Link,Category,CreationDate
0,Supreme Court seeks ex-forest IGs assistance on F-9 tree cutting,"Court bars CDA from felling trees till next hearing; 7,000 trees so far removed.","ISLAMABAD: The Supreme Court has sought the assistance of two retired inspector general of forest (IGF) to determine whether the Capital Development Authority’s (CDA) removal of trees and vegetation from the F-9 Fatima Jinnah Park in accordance with good practices and how best to proceed it with in the future.
Headed by Chief Justice of Pakistan (CJP) Qazi Faez Isa, a three-judge Supreme Court bench through a written order issued here Monday directed the court office to dispatch the copies of its orders to former IGFs namely Mahmood Nasir and Syed Ghulam Qadir Shah. The court also ordered that until the next hearing no further trees would be cut nor the CDA would undertake further deforestation.
 
 

“We are greatly concerned with the manner in which the land has been cleared of all vegetation, not just paper mulberry trees,” the order observed, adding it would be appropriate to seek the assistance of the two IGFs in this regard.
The Supreme Court had taken up a notice under Article 184(3) of the Constitution on a suo motu after the Registrar of the Supreme Court put up a note before the three-judge committee constituted under section 2 of the Supreme Court (Practice and Procedure) Act, 2023 to consider whether proceedings may be commenced since reportedly a larger number of trees have been cut and there was systematic deforestation taking place at the Fatima Jinnah Park, F-9.

Court bars CDA from felling trees till next hearing; 7,000 trees so far removed

Besides, the citizens were complaining that the trees had been cut on the order of the CDA. They said the Supreme Court should intervene to prevent this valuable resource of the citizens from being destroyed.
The order stated that pursuant to Feb 27 directions in respect of the tree-cutting/deforestation taking place in the Fatima Jinnah Park, commissioners appointed by the Supreme Court had submitted their joint report and video recordings.
In case the CDA has any objection to the report the same be filed before the next date of hearing, the order said, adding the CDA has also filed a report in response to the questions raised and informed the court that it did massive plantation in the 1970s of paper mulberry trees (Broussonetia papyrifera), but later discovered that it causes pollen allergy.
Therefore, it was decided to remove all such trees from Islamabad, including from the park which has their largest concentration. Thus an ‘open auction notice’ was published by the CDA director environment inviting bids from contractors to undertake the removal of paper mulberry trees and other invasive species.
7,000 paper mulberry trees removed
As a result, Shah Nazar was selected as the contractor since he offered the highest amount for the timber to be removed, which was Rs5.2 million at the rate of 66.94 per cubic foot.
As per the CDA, approximately 7,000 paper mulberry trees were removed from different patches and packets of 55 acres of the park.
However, photographs and recording shows that the area has been denuded of all trees and vegetation, the report said adding when the court enquired whether the paper mulberry trees were marked, it transpired that the work was undertaken by the contractor himself.
It would be in the interest of the contractor to remove other trees too whose timber value is greater, the order said, adding that the CDA employed about 4,500 gardeners but they could not have undertaken this work because, as the court was told, the “CDA does not have the requisite tools to uproot the trees”.
The court also questioned the modalities of the contract, saying the “appears to have worked unsupervised”. All trees and vegetation seem to have been cut, despite the fact that they take years to grow and play a useful role, the court regretted.
Published in Dawn, March 19th, 2024
",https://www.dawn.com/news/1822418/supreme-court-seeks-ex-forest-igs-assistance-on-f-9-tree-cutting,islamabad,2024-03-19
1,Pindi admin fails to bring down prices,"RAWALPINDI: After a week into Ramazan, the local administration has failed to bring down prices of food items with...","RAWALPINDI: After a week into Ramazan, the local administration has failed to bring down prices of food items with the divisional administration still considering establishing another Sasta fruit and vegetable Sasta bazaar. 
This year, only two Sasta bazaars were established in the garrison city. 
When Shehbaz Sharif was the chief minister, the district administration used to set up 16 Sasta bazaars in the district with eight of them in the garrison city.
These bazaars were established at Haideri Chowk, Shamsabad, Committee Chowk, Khyaban-i-Sir Syed, Gulzar-i-Quaid, Chur Chowk, Adiala Road. But this year, only one such bazaar has been established at Chur Chowk and another at Shamsabad. 
A senior official of the district administration told Dawn that there was a plan to establish another Sasta bazaar in the city. 
He said that the divisional administration was yet to decide where the bazaar will be established. 
“There is a proposal to establish the wholesale market at Rawal Road but it is yet to be confirmed,” he said. 
On the other hand, the residents said mostly people had completed their Ramazan shopping of dry food items like wheat flour, sugar, tea, cooking oil at higher prices and now they buy fruits and vegetables on daily basis.
“The Sasta bazaar is established at Chur Chowk from where people living in and around the area will benefit. Residents of other areas have to purchase fruits and vegetables from markets at higher rates,” said Mohammad Majid, a resident of Mohanpura. 
He said people who work in Islamabad and other parts of the city had no time for shopping in Sasta bazaars located away from their houses.
Naseer Malik, a resident of Teli Mohallah, said that it was wastage of time to go to the Sasta bazaar at a far-away place to get some fruits and vegetables. Moreover, he said, the quality of food items in the Sasta bazaar was not maintained.
Meanwhile, Commissioner Aamir Khattak visited Ramazan Sasta Bazaar at Shamsabad and reviewed the sale of food items. 
Deputy Commissioner Dr Hassan Waqar Cheema and other concerned officials were also present. 
The commissioner inquired about the availability of food items from the buyers and directed the officials to further improve the facilities on the suggestions of consumers.
He also directed them to ensure the display of rate list at prominent places at the bazaar. 
Also, the officials and officers on duty should ensure that common man is being facilitated fully at the bazaar. 
He said the wholesale bazaar was an initiative to provide essential food items to the consumers at controlled rates in the holy month. 
He claimed that food items were not only available in the bazaar in abundance but were 20 to 25 per cent cheaper than the market. 
He said their quality was also being ensured.
The commissioner directed that representatives of all concerned departments should be present in the bazaar to help and guide the public. 
He said the performance of the price magistrates was also being monitored by Special Branch and the Urban Unit.
Published in Dawn, March 19th, 2024
",https://www.dawn.com/news/1822417/pindi-admin-fails-to-bring-down-prices,islamabad,2024-03-19
2,Work on bicycle lane project launched,ISLAMABAD: The Capital Development Authority (CDA) on Monday started work on its bicycle lane project (BLP) which...,"ISLAMABAD: The Capital Development Authority (CDA) on Monday started work on its bicycle lane project (BLP) which will be officially inaugurated by Prime Minister Shehbaz Sharif soon. 
The construction work on the bicycle lane was launched on Fazl-i-Haq Road in Blue Area.
“The official inauguration ceremony of the Bicycle Lane Project (BLP) is scheduled to take place in the coming days with Prime Minister of Pakistan Mian Muhammad Shahbaz Sharif gracing the occasion as the chief guest,” said a press release issued by the civic agency.
It said the event underscores the CDA’s commitment to prioritising the health and well-being of Islamabad’s residents while safeguarding the environment for future generations.
It said the civic agency will oversee the construction of an extensive network of bicycle lanes spanning approximately 374 kilometres across various sectors and areas of Islamabad within the next 18 months. With an allocated budget of Rs2.4 billion, this project represents a significant investment in promoting eco-friendly transportation alternatives and reducing environmental pollution, it claimed.
BLP will see the integration of cycling tracks along highways, including those linked to the Purple Line Metro Bus project such as Khayaban-i- Iqbal, G-6, G-7, G-8, Green Double Lane, Jinnah Avenue and Red Double Lane. 
These dedicated lanes will not only facilitate commuters but will also encourage a healthier lifestyle among citizens.
“In addition to constructing cycling tracks, the project will include the establishment of 150 parking stands strategically located throughout the city. 
“These stands will offer citizens convenient access to affordable bike rental services with each stand accommodating more than 40 electronic bikes. As part of the initiative, the gradual phasing out of petrol-powered bikes will be implemented to further promote sustainability.”
Furthermore, the press release claimed that stringent measures will be implemented to ensure the safety and security of cyclists, including the installation of proper lighting arrangements and enhanced security protocols along the designated lanes.
Published in Dawn, March 19th, 2024
",https://www.dawn.com/news/1822416/work-on-bicycle-lane-project-launched,islamabad,2024-03-19
3,"Azad Kashmir, Gilgit-Baltistan to get Daanish schools","Boarding schools to cater to thousands of ""bright students""; PC-I of Islamabad school ""to be approved soon"".","ISLAMABAD: As the prime minister directed the authorities to set up Daanish schools in Islamabad, Gilgit-Baltistan, and Azad Jammu and Kashmir, the federal education ministry on Monday expedited efforts to materialise this initiative at the earliest.
As per the PM orders, three schools each will be set up in Azad Kashmir and GB and one school will be constructed in Islamabad. According to a statement issued by the PM’s office, “These boarding schools will accommodate 1,000 bright students each from marginalised segments of society, boasting state-of-the-art infrastructure and equipment.”
 
 

It said that the focus will be on providing the best faculty to impart 21st-century skills, particularly in STEM and computer sciences, with admissions based on merit. The PM has instructed the fast-tracking of project designs for approval by the relevant authorities, with a preference for the construction on the state land.
In this regard, Education Special Secretary Mohyuddin Ahmad Wani contacted the chief secretary of Gilgit-Baltistan for PC-I of the project. “The AJK, GB and federal government are in close coordination for starting these schools as soon as possible,” he said. Speaking to Dawn, Mr Wani said that the PC-I of Daanish School in Islamabad has been prepared, which will be taken up in the Central Development Working Party’s meeting soon.

Boarding schools to cater to thousands of ‘bright students’; PC-I of Islamabad school ‘to be approved soon’

Asked about the timeline for the Islamabad project, he said: “Land had already been earmarked for this project in the Kuri area of Islamabad and the PC-I will also get approval in a few days. As per PC-1, the project should be fully completed by March 2026, he said, adding that the ministry would try its best to get it completed before the deadline.
According to the secretary, the federal secretary of education had been personally supervising the paperwork for the PC-I which would be approved in the next few days before hiring a consultant/contractor etc.
 
 

Meanwhile, GB Chief Minister Haji Gulbar Khan in a statement appreciated Prime Minister Shehbaz Sharif for deciding to set up Daanish schools in GB. He termed this project highly beneficial for underprivileged students of areas of GB, particularly those living in far-flung areas.
Last week, the Capital Development Authority (CDA) approved a summary to set up this school in the Kuri area of the capital.
Daanish schools provide free quality education for underprivileged children in Punjab and this project was started by then chief minister Shehbaz Sharif in 2010. These schools offer boarding facilities to students. According to sources, this project is close to the heart of PM Shehbaz and he wanted to bring this education facility to Islamabad as well.
Punjab, which is also ruled by the PML-N, is also interested in establishing this school in the federal territory, apparently to help the “underprivileged and talented students” of the capital.
As of yet, there is no decision on how the school will be run. Sources said the decision about whether a new authority would be established for this school or it would be run by the Punjab Daanish schools authority has yet to be taken.
In January last year, the federal government announced the establishment of a Daanish School and Center of Excellence Authority in Balochistan to materialise Prime Minister Shehbaz Sharif’s vision of imparting free-of-charge education to poor children of the province.
Published in Dawn, March 19th, 2024
",https://www.dawn.com/news/1822414/azad-kashmir-gilgit-baltistan-to-get-daanish-schools,islamabad,2024-03-19
4,Crackdown launched on residences being used for commercial purposes,"TAXILA: In an operation against illegal commercial activities and defaulters of the commercialisation fee, the Wah...","

WAH Cantonment Board (WCB) enforcement team offi cials seal residential properties being illegally used for commercial activities. — Dawn

 
TAXILA: In an operation against illegal commercial activities and defaulters of the commercialisation fee, the Wah Cantonment Board (WCB) enforcement teams issued notices to the lease holders of residential properties being used for commercial purposes.
According to the official sources, in accordance with the direction of the Director General Military Lands and Cantonments (DGML&C), action was taken against illegitimate shops and other commercial properties in residential areas.
The officials said that under Cantonment Act 1924 Sections 185 and 256, the owners would be notified to cease and refrain from any such business activities in these residential buildings.
In the event of non-compliance, under phase 2 of this crackdown, their lease a g r e e m e n t would be cancelled.
`Such buildings would be sealed in the first phase, while their leases would be cancelled in the second phase,` the official added. The sources said that these unauthorised commercial buildings had been constructed without the necessary approvals and no objection certificate (NOC), in violation of the Cantonment Board Building and Zoning Regulations.
According to official sources, as many as 423 residential premises have been identi-Ked that are illegally used for commercial purposes, evading taxes. The sources said that 203 premises were identified in Lalarulch only, while 220 other premises were identified in Gulistan Colony, 9-F Marl(et, Officer Colony, Laig Ali Chowk, 15-G Market, and Anwar Chowk.
The sources said these premises leased for residential purposes were being used as private enterprises such as beauty parlours, hair salons, shops, clinics, display centres, medical labs, cafes, mobile shops, sanitary shops, academies, and other commercial activities.
When contacted, Cantonment Executive Officer Ms Maria Jabeen Khan informed that residential properties are being illegally used for commercialpurposes,includingschools,colleges,academies, and shops. Markets, hospitals, and beauty parlours are established, while the trade unions are encouraging people to breal( the law instead of fulfilling their responsibilities.
Responding to a question, she said that the board has already issued notices to all properties falling under the category of non-confirming users to end business activities in residentialbuildings.
Published in Dawn, March 19th, 2024
",https://www.dawn.com/news/1822413/crackdown-launched-on-residences-being-used-for-commercial-purposes,islamabad,2024-03-19
5,Norwegian envoy commends PRCS’ humanitarian efforts,ISLAMABAD: The Norwegian Ambassador Per Albert Ilsaas on Monday met Pal(istan Red Crescent Society (PRCS) Chairman...,"ISLAMABAD: The Norwegian Ambassador Per Albert Ilsaas on Monday met Pal(istan Red Crescent Society (PRCS) Chairman Sardar Shahid Ahmed Laghari at the PRCS National Headquarters.
During the meeting, Ambassador Ilsaas emphasised the crucial role of humanitarian service, expressing a shared dedication to advancing such efforts in Pakistan
According to a statement, Ambassador Per Albert Ilsaas commended PRCS` role in alleviating the suffering of communities.
The meeting delved into various topics including bilateral relations, the programmes and initiatives supported by the Norwegian Red Cross and the imperative of enhancing cooperation for the betterment of humanity.
Chairman Laghari provided insights into PRCS` initiatives, notably its post-flood rehabilitation and reconstruction efforts in Pakistan, highlighting collaborative programmes with support from the Norwegian Red Cross. These programmes encompass basic healthcare, water, sanitation and hygiene (WASH) facilities, water supply schemes, mobile health units, deployment of mobile health teams and initiatives targeting vulnerable groups such as children under five and pregnant women.
He also briefed the ambassador about the newly launched pilot programme of Cash and Voucher Assistance, focusing on pregnant and malnourished women in Jamshoro district, Sindh province. In collaboration with the Norwegian Red Cross, PRCS is supporting 1000 pregnant and malnourished women by providing Rs109,000 per family over a nine-month period. 
Published in Dawn, March 19th, 2024
",https://www.dawn.com/news/1822410/norwegian-envoy-commends-prcs-humanitarian-efforts,islamabad,2024-03-19
6,"Minister stresses on increasing EOBI fund to Rs1,000bn","ISLAMABAD: In an effort to bolster social security provisions, Minister for Overseas Pakistanis and Human Resource...","ISLAMABAD: In an effort to bolster social security provisions, Minister for Overseas Pakistanis and Human Resource Development Chaudhry Salil( Hussain on Monday called for an increase in the Employees` Old-Age Benefits Institution (EOBI) fund from Rs500 billion to Rs1,000 billion. Additionally, he set a target of enhancing investment income from RsG1 billion to Rs200 billion.
He was speaking during his visit to the EOBI House. Federal Secretary Dr Arshad Mehmood also accompanied him, says a press release.
During the visit, the minister was briefed by Deputy Director GeneralEOBIMohammad Aminon the institution`s functions and performance.
Mr Hussain emphasised the importance of maxi mising the registration of establishments and extending EOBI benefits to the working class and labourers, with a special focus on increasing coverage. He issued directives to ensure full facilitation to both employers and employees of already registered units, underlining the government`s commitment to enhancing social protection for the workforce.
He commended EOBI for its performance and significant contribution to providing social protection to employees of private sector establishments.
The federal minister assured the EOBI of his full support in all aspects of its activities and in strengthening the institution`s scheme to ensure its sustainability and vibrancy. 
Later, Federal Secretary Dr Arshad Mahmood briefed the minister that through the reforms in EOBI operations, IT and efficient investment which were under active process would be helpful to achieve the targets set by the federal minister.
The visit concluded with mutual appreciation for EOBI`s efforts and a commitment to continued collaboration in advancing social security initiatives for the benefit of all workers.
Published in Dawn, March 19th, 2024
",https://www.dawn.com/news/1822403/minister-stresses-on-increasing-eobi-fund-to-rs1000bn,islamabad,2024-03-19
7,Police obtain arrest warrants for Murad Saeed,R AWALPINDI: Police have obtained arrest warrants for PTI leader Murad Saeed in four cases related to May 9 violence...,"RAWALPINDI: Police have obtained arrest warrants for PTI leader Murad Saeed in four cases related to May 9 violence registered with the Cantonment and Taxila police.
The police have also obtained arrest warrants for former Punjab chief minister Chaudhry Pervaiz Elahi in a case registered with the police under terrorism and other charges related to May 9 violence.
According to sources, former federal minister and PTI leader Murad Saeed has been bool(ed in a case registered with the Morgah and Civil Lines police on terrorism, abetting waging of war against Pakistan, criminal conspiracy and other charges.
Former Punjab chief minister Pervaiz Elahi has been in a case registered with the Cantonment police and another case registered with the R.A Bazaar under terrorism charges related to May 9 violence.
Published in Dawn, March 19th, 2024
",https://www.dawn.com/news/1822393/police-obtain-arrest-warrants-for-murad-saeed,islamabad,2024-03-19
8,Sarah Ahmad wins prestigious award,ISLAMABAD: Child Protection Bureau Punjab ChairpersonSarah Ahmad has become the first woman in the nation to be...,"ISLAMABAD: Child Protection Bureau Punjab Chairperson Sarah Ahmad has become the first woman in the nation to be honoured with the prestigious `Pakistan`s International Woman of Courage Award` presented by US Ambassador Donald Blome.
`This accolade recognises Sarah Ahmad`s unwavering bravery, dedication and leadership in safeguarding the children of Pakistan,` read a press release issued here.
It said Sarah Ahmad`s remarkable journey spanned five years of fearless advocacy, from confronting criminal networks exploiting child beggary to leading legal actions against perpetrators of child abuse.
Her tireless efforts have earned her the Tamgha-i-Imtiaz from the government, in addition to representing the country at the United Nations on Child Rights.
Expressing her gratitude, Ms Ahmad, who is also member of the Punjab Assembly (MPA), acknowledged the invaluable support of state institutions of Pakistan, her team and stakeholders who had stood beside her in this critical mission.
She said this recognition by the US government was a testament to their seriousness about grass root issues in Pakistan and she believed that Pakistan could further prosper by building stronger ties with the United States. With a commitment to shielding vulnerable children from exploitation and neglect, she pledged to continue her efforts to rescue, rehabilitate and reunify thousands of young lives.
The press release said the Child Protection Bureau Punjab under the supervision of Sarah Ahmad had rescued and rehabilitated thousands of abuse victims and child beggars, facilitated the adoption of over 100 abandoned infants into loving families, and successfully reunited numerous lost children with their loved ones in the last Eve years.
The press release further stated that currently she was looking after 1,000 plus children across Punjab in protection bureau`s centres.
Published in Dawn, March 19th, 2024
",https://www.dawn.com/news/1822389/sarah-ahmad-wins-prestigious-award,islamabad,2024-03-19
9,Drug peddler sentenced to nine years in jail,TAXILA: A special court for the Control of Narcotic Substances (CNS) in Hassanabdal sentenced a drug peddler to...,"TAXILA: A special court for the Control of Narcotic Substances (CNS) in Hassanabdal sentenced a drug peddler to nine-year imprisonment on Monday, besides imposing a fine of Rs80,000 on him.
The convict, Umer Ali, was arrested by Hassanabdal Police in 2023 after the recovery of hashish from his custody.
During the proceedings, the public prosecutor argued that the accused was caught red-handed while smuggling thecontraband, and the evidence on record fully connected him.
Meanwhile, a man lost his life and another received critical injuries when the car they were travelling in fell into a ditch as the driver fell asleep on the Hal(la-DI Khan motorway near Pindigheb in the early hours of Monday.
The police registered a case and launched further investigation. 
Published in Dawn, March 19th, 2024
",https://www.dawn.com/news/1822385/drug-peddler-sentenced-to-nine-years-in-jail,islamabad,2024-03-19
