,Header,Summary,Detail,Link,Category,CreationDate
0,Pact signed to promote biosafety awareness,KARACHI: The University of Karachi and the Pakistan Biological Safety Association (PBSA) inked a memorandum of...,"KARACHI: The University of Karachi and the Pakistan Biological Safety Association (PBSA) inked a memorandum of understanding (MoU) to promote awareness regarding biosafety, biosecurity, and risk management in the labs of the KU, on the campus, and in society.
KU VC Professor Dr Khalid Mahmood Iraqi and PBSA president Prof Dr Saeed Khan signed the MoU at the VC Secretariat on Monday. 
The KU and the PBSA agreed to encourage academic, scientific and biological research and collaboration to train biological scientists and researchers.
As per the MoU, the PBSA will provide technical support to the KU and they will jointly conduct regional bio-safety and bio-security trainings in the province. The PBSA has offered to facilitate KU faculty members to receive training on the International Federation for Bio-safety Association certification exam.
On this occasion, Dr Iraqi mentioned that academic collaboration is essential to move forward and stressed that such initiatives would help match the developed nations.
He said that people gradually understand the benefits of safety measures at work and hoped that with the training the staff, students, and teachers of the campus would learn a lot about the importance of bio-safety, bio-security, and risk management.
Prof Khan said that PBSA had provided the best facilities during Covid-19 and the training they got before the pandemic helped them a lot to deal with the situation that occurred during the spread of the coronavirus in the country.
Published in Dawn, March 19th, 2024
",https://www.dawn.com/news/1822395/pact-signed-to-promote-biosafety-awareness,karachi,2024-03-19
1,US diplomat visits Napa,KARACHI: US Consul General in Karachi Conrad Tribble visited the National Academy of Performing Arts (Napa) on ...,"KARACHI: US Consul General in Karachi Conrad Tribble visited the National Academy of Performing Arts (Napa) on Monday to discuss various possibilities of collaboration between the two organisations.
According to a press release, he was received by Napa chairman Syed Jawaid Iqbal, along with board members, former Senator Javed Jabbar, Anwar Rammal, Mahtab Akbar Rashdi, Shahrukh Hasan, and Satish Anand, and Napa chief executive Junaid Zuberi.
The two sides discussed matters of mutual interests, it said, adding that Mr Tribble expressed the desire of more collaboration with Napa.
He was briefed on the activities of theatre and music departments of Napa by their respective department heads.
Published in Dawn, March 19th, 2024
",https://www.dawn.com/news/1822394/us-diplomat-visits-napa,karachi,2024-03-19
2,Man in US lodges e-complaint of car theft,KARACHI: An  expatriate Pakistani living in the United States lodged an electronic  FIR of the theft of a car for ...,"KARACHI: An  expatriate Pakistani living in the United States lodged an electronic  FIR of the theft of a car for the first time in Pakistan, police said on  Monday.
East-Zone DIG Azfar Mahesar said in a statement that the citizen lodged the complaint at the ‘Electronic Complain Cell’  established at his office recently.
He said that  electronic complaints from Nigeria, Dubai, South Africa and other  countries were also entertained and redressed at the cell.
The DIG said East-Zone’s Electronic Complaint Cell had received 750  online complaints, out of which, 600 complaints had been redressed while  100 complaints were under process.
A woman had  lodged an electronic complaint against drug addicts after which the  police took immediate action and launched a crackdown by arresting the  addicts and sending them to rehabilitation centres, he said.
The  DIG said a large number of people, including women, were utilising the  service of electronic complaint, adding that after receiving suggestions  at the cell, women desks had been established at all police stations of  East Zone. 
Published in Dawn, March 19th, 2024
",https://www.dawn.com/news/1822392/man-in-us-lodges-e-complaint-of-car-theft,karachi,2024-03-19
3,"Dacoits kill two hostages, throw bodies into Indus River",SUKKUR: Dacoits shot dead two hostages and threw their bodies into Indus River near Ubauro town in Ghotki district ...,"SUKKUR: Dacoits shot dead two hostages and threw their bodies into Indus River near Ubauro town in Ghotki district on Monday after their families failed to pay them ransom before the deadline and buy their freedom.
Sources said that the dacoits had kidnapped Ahsan Farooq Rajput and Shehzad Ahmed Arain in Sadiqabad, Punjab, 13 days ago and held them hostage in Rojhan riverine area near Ubauro.
However, police officials claimed the deceased were hired for working on a ceiling in Rohjan area from where they were abducted by dacoits.
The kidnappers had demanded hefty amounts as ransom, which the families could not arrange and the dacoits subsequently killed the hostages, they said.
The officials said that they had found dead body of Rajput and were searching for Arain’s body. A case had been registered against Loond gang at Rohjan police station, they said.
Late Rajput’s funeral was held in Sadiqabad where the bereaved family demanded chief minister of Punjab to bring the killers to justice.
Published in Dawn, March 19th, 2024
",https://www.dawn.com/news/1822391/dacoits-kill-two-hostages-throw-bodies-into-indus-river,karachi,2024-03-19
4,11 file papers for Nawabshah seat vacated by Zardari,Candidates include PTI-backed Sardar Sher Mohammad Rind and his son Mir Bahawal Rind.,"NAWABSHAH: A total of 11 candidates have filed nomination papers for contesting NA-207 (Nawabshah-I) by-election scheduled to be held on April 21, according to Form-31 issued by returning officer Ali Sher Jamali on Monday.
The candidates included Aseefa Bhutto-Zardari, Sardar Sher Mohammad Rind, Mir Bahawal Rind, Ali Akbar Jamali, Syed Akif Hussain, Abdul Rasool Brohi, Ghulam Mustafa Rind, Zakir Hussain Jamali, Amanullah, Mairaj Ahmed and Saeed Ahmed.
 
 

Majority of the candidates, who had filed the nomination papers, were workers and office bearers of Pakistan Peoples Party and were considered as covering candidates for Ms Bhutto-Zardari.
Sardar Sher Mohammad Rind and his son Mir Bahawal Rind, had contested NA-207 and PS-36 (Daur) in Feb 8 general elections as Pakistan Tehreek-i-Insaf-backed independents against PPP co-chairman Asif Ali Zardari and his sister Dr Azra Fazal Pechuho, respectively.
The scrutiny of papers would start tomorrow and continue till March 21.
The seat had fallen vacant after Asif Ali Zardari was elected president of the country.
Published in Dawn, March 19th, 2024
",https://www.dawn.com/news/1822390/11-file-papers-for-nawabshah-seat-vacated-by-zardari,karachi,2024-03-19
5,Traders’ body puts its weight behind corporate farming,HYDERABAD: The Hyderabad Chamber of Small Traders & Small Industry president Mohammad Farooq Shaikhani has ...,"HYDERABAD: The Hyderabad Chamber of Small Traders & Small Industry president Mohammad Farooq Shaikhani has lauded federal government’s initiative for crafting a corporate farming policy aimed at advancing Pakistan’s agriculture sector.
Mr Shaikhani said in a statement issued here on Monday that formulation of a National Seed Policy and enactment of Agriculture Development Authority Act were badly needed to facilitate the corporate farming.
He said that 90pc of landholders had small pieces of land measuring from five to 12 acres and expressed concerns over absence of statistics and required mechanism for ascertaining eligibility of subsidy for bona fide recipients under the new agriculture policy. 
He feared that without data collection the policy might inadvertently favour big landowners thus neglecting smaller cultivators and perpetuating disparities.
He said that Pakistan’s significant agricultural potential with 40pc of cultivable land could address the nation’s food needs and advocated adoption of international farming technologies, including researched seeds, high-quality pesticides, urea and modern machinery to substantially increase crop yields.
He called for ensuring market prices for seeds, urea, pesticides and agricultural commodities, alongside providing subsidies to farmers and highlighted adverse impact of rising production costs and fluctuating crop prices on farmers’ livelihoods and government’s reputation, emphasising the need for immediate attention towards mitigating these challenges.
He stressed the need for bringing a green revolution to drive agricultural development in Pakistan, advocating strategic crop selection based on land suitability. With decline in international wheat prices, he said, a shift was needed for growing commodities that were imported like palm oil. 
Mr Shaikhani recommended a halt to sugar cane cultivation due to its being high delta crop, and redirecting resources towards cultivating other valuable food crops, including cotton. It was a proactive measure, he said.
He said that Pakistan’s position as the seventh largest agricultural nation globally, drawing attention to a planning and development ministry report which revealed that 24pc of Pakistan’s population approximately accounted for 55m individuals who lived below poverty line.
He said that 29pc Pakistanis suffered from undernourishment, 40pc among them children. Pakistan’s human development index stood at 0.544, ranking 161 out of 192 countries while its placement at 102 out of 126 countries in Global Hunger Index highlighted the need for policy reforms. These statistics indicated disconnect between policy formulation and ground realities, showing systemic bias that favoured the elite, he said.
He proposed that policies including agriculture development policy be crafted and executed at state level in order to emphasise their stability and credibility among international organisations. By decentralising policy-making, continuity could be ensured, independent of changes in government leadership, he said.
Published in Dawn, March 19th, 2024
",https://www.dawn.com/news/1822388/traders-body-puts-its-weight-behind-corporate-farming,karachi,2024-03-19
6,Public holiday sought on martyrdom day of Sooriah Badshah,NAWABSHAH: Members of Sanghar Sujagi Forum observed a token hunger strike outside Sanghar press club on Monday to...,"NAWABSHAH: Members of Sanghar Sujagi Forum observed a token hunger strike outside Sanghar press club on Monday to draw government’s attention to their demand for declaring public holiday on March 20, the martyrdom day of great freedom fighter Sooriah Badshah.
Writer Aijaz Mangi, Anjum Aftab Nizamani, Akhtar Maari and others, who led the strike, said that Sayyid Sibghatullah Shah Al-Rashidi II Pir Pagaro the VIth, who was lovingly called Sooriah Badshah by his followers and thousands of his Hur mujahids sacrificed their lives during the armed struggle for liberating Sindh from colonial British regime. He, therefore, rightly deserved a day dedicated to remembrance of his struggle and supreme sacrifice, they said.
Published in Dawn, March 19th, 2024
",https://www.dawn.com/news/1822387/public-holiday-sought-on-martyrdom-day-of-sooriah-badshah,karachi,2024-03-19
7,Bandits in Kandhkot-Kashmore kill teacher who defied their ‘rule’ by going to school in no-go area,"Viral video clip shows the slain teacher, armed with a gun for safety, going to school with his students.","SUKKUR: Dacoits gunned down a primary schoolteacher, when he was driving to his school on a motorcycle along Hazaro Shakh (water channel) on Magsi-Karampur road near Tangwani town, Kandhkot-Kashomre district, on Monday.
The teacher Allah Rakhiyo Nandwani, a resident of Khando Khan Nandwani, taught at a cluster primary school in Nasrullah Khan Bijarani village, which was considered a ‘no-go’ area.
He had recently earned fame and great respect through his videos uploaded on social media in which he expressed his determination to continue to defy bandit-rule by going to the “no-go” area regularly to educate children.
A video clip that showed the slain teacher armed with a double barreled gun going to his school along with his young students went viral on the social media. He could be heard in the video saying that he had taken up the weapon for his safety and would go to the school even at great risk to his life.
The video attracted thousands of social media users, who appreciated his resolve and lashed out at the area police’s criminal negligence in protecting lives of general public, especially teachers.
The way the outlaws fired straight at the teacher’s chest showed they had targeted him to make him an example for others who might dare to challenge their control and end their fear.
Sources said the dacoits managed to escape away with the teacher’s motorcycle into nearby riverine area.
Police said that they rushed to the area after receiving information about the teacher’s murder and shifted his body to Karampur taluka hospital. The body was handed over to heirs after completion of medico-legal formalities, they said.
The news about the teacher’s brutal killing spread like jungle fire on social media, with netizens heaping harsh criticism on district police and promoting Sindh Minister for Home Zia Lanjar to direct Larkana DIG to submit to him a report about the incident.
Family stages protest
The bereaved family along with a large number of supporters placed the teacher’s dead body on the Kandhkot-Thull road at Magsi stop and staged a demonstration, blocking all vehicular movement on the road.
The victim’s brothers, Mithal Nandwani and Moula Bakhsh Nandwani, who led the protest, said that no one was safe on roads where highwaymen committed crimes without fear of police and recklessly killed people over resistance.
They demanded their brother’s killers should be brought to justice and people should be protected from criminals and dacoits.
A few hours later, DSP Tangwani arrived there and assured the protesters of the killers’ arrest. Thereafter, they called off the protest.
Sources said the victim had left behind two wives, two daughters and a young son besides a large number of relatives, students and admirers to mourn his death.
Published in Dawn, March 19th, 2024
",https://www.dawn.com/news/1822386/bandits-in-kandhkot-kashmore-kill-teacher-who-defied-their-rule-by-going-to-school-in-no-go-area,karachi,2024-03-19
8,"Historians, researchers claim Noori’s grave is in Makli, not Keenhjar island","THATTA: A large group of experts, including historians, researchers, archaeologists and columnists, along with...","

(Left) The gravesite in the middle of Keenjhar Lake generally believed to be Noori’s, which has remained a popular attraction of tourists since long; (right) the grave under the canopy adjacent to the 15th century Sindh ruler Jam Nizamuddin-II’s mausoleum at Makli Necropolis, which the historians believe is actual site of Noori’s burial place.—Photo by the writer

 
THATTA: A large group of experts, including historians, researchers, archaeologists and columnists, along with several octogenarian locals, gathered here to share their knowledge and findings to challenge the “fabricated” and “concocted” versions that distorted facts about ‘Noori Jam Tamachi’, a folktale recognised by historians as the true love story of Queen Noori and Samma Dynasty ruler Jam Nizamuddin Tamachi.
The authentic history books characterise Noori as one of the seven well-researched queens of Sindh. 
The distortion of certain facts highlighted by the group of experts was endorsed by the octogenarian locals present at the gathering. They appeared sure that the grave on the tiny island in Keenjhar Lake frequented by around 10,000 tourists, picnickers and history buffs on weekends for decades is not of the legendary figure, Noori. In fact, her grave is the one present beside the tomb of Jam Nizamuddin Tamachi under a canopy at the Makli necropolis in Thatta, according to the participants of the discussion.
The claim made in unison at the gathering was based on an extensive study, site visits and interviews with knowledgeable figures and other locals all undertaken by the group of experts, who included historian and former senator Dr Karim Khuwaja, former director general of culture & tourism department Dr Mohammad Ali Manjhi, noted environmentalist and history analyst Masood Lohar and columnist Zahid Ishaque Soomro. Their aim was to rectify fallacies in order to present a correct one of Sindh’s most interesting parts of history and the keenly revealed folktale for the future generations. 
The folktale is found in the poetry of revered sufi Saint Shah Abdul Latif Bhitai and is focused particularly in the compositions ‘Sur Kamod’ and ‘Sur Karayal’. Other literary giants such as Sheikh Ayaz and Sajid Soomro also reveal the tale in their poetry and prose works that further glorify the characters and fascinate history buffs. 
According to the group’s research, it was during expansion work of Keenjhar Lake in the recent past that the island emerged. It actually had the graves of Samma Dynasty ruler Hoondrro Shah and his son, both spiritual figures as well. However, according to the research, the guides and other people extending hospitality to foreign and local tourists unknowingly distorted the facts making people to believe that the grave present near her spiritual leader Hoondrro Shah was of Noori. Octogenarian locals including Dada Adam Gandhro and Jummo Mirbahar appeared in agreement with the view. 
The 14th century Samma Dynasty was founded by Jam Unnar and extended its rule across the Indus valley spread over a territory covering the present day Pakistan and some parts of India. 
Samma rulers are known for their administrative reforms and patronage of arts. They played a significant role in shaping up the cultural landscape of Sindh. Jam Nizamuddin is revered for his great contributions to governance and culture. 
The experts at the gathering asserted that Sindh government, media, literati, historians and all other concerned people must put in their efforts and revisit this particular part of Sindh’s history and facts for the sake of accuracy. 
According to facts, Noori was born to King Jasodhan and Marviyat Rani but was raised by the Gandra tribe. The ‘Noori Jam Tamachi’ tale reveals that a prince, Tamachi, fell in deep love with Noori, who was exceptionally cute and attractive, during a hunting expedition in the Keenjhar Lake area. The love affair led to their marriage and her ascension to the position of queen.
Numerous fascinating versions of the folktale and its reflection in the poetry of Shah Abdul Latif Bhitai and works of many other literati, researchers and scholars made Noori and Jam Tamachi immortal figures, hence attracting people to their eternal abodes.
Published in Dawn, March 19th, 2024
",https://www.dawn.com/news/1822384/historians-researchers-claim-nooris-grave-is-in-makli-not-keenhjar-island,karachi,2024-03-19
9,Rangers vacate historical Radio Pakistan building after eight years,Pakistan Broadcasting Corporation plans to move back news section and most operations to the building.,"KARACHI: The big old banyan tree in one corner of the premises still lends the same shade it provided to the famous limestone building with the minarets and its surrounding barracks all these years. But the wooden cage for the hummingbirds built around its base is empty now. The clay nesting pots, too, are as vacant as the main building.
The doors to the main building have been closed with little white slips with the date ‘18-01-2024’ pasted on them with Scotch tape. They also have ‘PBC Project Cell (South Zone)’ stamped on them.
This is the current situation at the historical landmark building of Radio Pakistan on M.A. Jinnah Road after it along with the bird cages was quietly vacated by the Anti-Terrorist Wing of Sindh Rangers around the second week of January after around eight years. The cement barriers are still there, outside the main gate so not many realised the move back to normality.
“Yes, true, we have vacated the Radio Pakistan building,” a Sindh Rangers spokesman confirmed to Dawn.

PBC plans to move back news section and most operations to the building

When asked the reason for the sudden move, he sounded exasperated.
“All this while the media has been pointing fingers at us, calling us squatters. And now that we have left the building, you also have an issue with that? Look, we don’t barge into places ourselves. It was only a temporary arrangement provided to us by the Government of Sindh. We have now moved to a new place, designed according to our needs, near the Toll Plaza in Gadap,” he informed.
“Well, if you think about it, this was really not an ideal place for the Ranger to begin with,” said a senior Radio Pakistan employee on condition of anonymity. “They are more comfortable in open cantonment areas, not in the middle of the city. I’m sure they also must have had their own safety issues here,” the senior employee pointed out.
While the Rangers were housed in the old building, Radio Pakistan Karachi operated from another building near the Civic Centre in Gulshan-i-Iqbal.
The Rangers were not responsible for that move. The step had been taken after fire broke out in the old building back in October of 2007. The Rangers only arrived there in 2015 to look over security arrangements during Muharram.
While they stayed for some eight years, it must be mentioned here that they did not interfere with Radio Pakistan‘s work being carried out at the old building such as planning at the project cell and the publication of the Pakistan Broadcasting Corporation’s monthly Urdu magazine Ahang from there.
Now, there are plans to slowly but gradually move back most operations, starting with sales and marketing, and news section to the historic building.
The building was inaugurated on July 16, 1951, following the Karachi station’s move there from the Intelligence School on Queen’s Road where medium wave transmission from Karachi had kicked off soon after Partition under the able guidance of stalwarts of the likes of Z.A. Bukhari, Shahid Ahmed Dehlvi, S.M. Saleem and Abdul Majid.
Published in Dawn, March 19th, 2024
",https://www.dawn.com/news/1822404/rangers-vacate-historical-radio-pakistan-building-after-eight-years,karachi,2024-03-19
