,Header,Summary,Detail,Link,Category,CreationDate
0,Three remanded in custody over Lahore’s Ichhra Bazaar incident,Investigating officer requests custody of suspects to complete probe and identify accomplices.,"LAHORE: An anti-terrorism court (ATC) on Monday remanded three suspects in police custody over their involvement in the harassment of a woman in Ichhra Bazaar for wearing a shirt with Arabic print.
The Ichhra police presented the suspects — Muhammad Nadeem, Adil Sarwar and Altimash Saqlain — before the court and sought their 14-day physical remand.
The investigating officer told the court that the suspects had harassed the woman and incited people to kill her. He said the custody of the suspects was required to complete the investigation and identify their accomplices.
 
 

Judge Arshad Javed allowed three-day physical remand of the suspects and directed the police to produce them again on March 20.
The police had registered the FIR a week after the incident wherein dozens of religiously charged people had accused a woman of blasphemy in Ichhra Bazaar as she was wearing a shirt having Arabic calligraphy print. The mob threatened to kill the woman. However, a police team, led by ASP Sheharbano Naqvi, had rescued the woman and shifted her to a police station.
REMAND: A judicial magistrate sent a suspect on remand over his alleged involvement in the murder of Ameer Balaj Tipu, the son of the late Arif Ameer alias Tipu Truckanwala.
The Crime Investigation Agency (CIA) produced the suspect, Ahsan Shah, before the court.
Magistrate Sadaf Batool granted physical remand of the suspect to the police for five days with a direction to present him again on March 23.
Shah, who is believed to be a close friend of Balaj, allegedly provided information to prime suspects, including Teefi Butt, about Balaj’s presence at a wedding party in Chuhng where he was murdered by a hitman, Muzaffar Hussain, on Feb 19.
The alleged killer was also killed on the spot by the gunmen of Balaj.
YASMIN: PTI-Punjab President Dr Yasmin Rashid on Monday said the “season” of May 9-like arrests has begun again.
Talking to reporters during her appearance in the anti-terrorism court, she said the PTI workers were being arrested nine months after the events of May 9. “What are they (the government) afraid of?” she asked.
She alleged that the PDM parties formed the government by rigging elections, and baseless terrorism cases were being filed against the PTI workers.
She said PPP Chairman Bilawal Bhutto Zardari, PML-N and Maulana Fazlur Rehman staged marches during the PTI government, but no one was arrested, adding that peaceful protest was the right of all political parties. She said the chief election commissioner should be punished for “stealing the PTI’s mandate”.
She said Chief Minister Maryam Nawaz spent a few months in jail, while PTI’s women were behind the bars for 11 months “without any trial or conviction”.
OMAR SARFRAZ: Former governor Omar Sarfraz Cheema has said his both arms had been frozen for the past five months, but the government was denying him medical checkup despite court order.
Cheema said he contracted a disease of gallbladder after eating substandard food in jail.
He said the court had issued orders for his surgery six months ago, but no action had been taken in this regard so far.
Earlier, the ATC adjourned the hearing of different cases against the PTI leaders and workers till April 1.
Published in Dawn, March 19th, 2024
",https://www.dawn.com/news/1822496/three-remanded-in-custody-over-lahores-ichhra-bazaar-incident,lahore,2024-03-19
1,"PTI plans long march, sit-in against ‘rigging’ after Eid","""No dialogue, no move on until the stolen mandate returned,” says Shaukat Basra.","LAHORE: The Pakistan Tehreek-i-Insaf has plans to hold a long march and sit-in after Eidul Fitr against “massive rigging and stealing of public mandate”.
The PTI has also decided not to enter into any dialogue with the incumbent government until and unless real public mandate is returned to the party.
“No dialogue, no move on until the stolen mandate will be returned,” said PTI leader Shaukat Basra while speaking to media persons outside Punjab Assembly on Monday.
He said the PTI was in consultation with other parties and contesting these cases in state institutions, though without any hope, to get back the public mandate.
He said the president, prime minister and Punjab chief minister had robbed the nation of their mandate and ‘are ruling at gunpoint’. He asserted that the Form-45 elected representatives would soon oust the ‘fake’ rulers. He said Nawaz Sharif was defeated by Dr Yasmin Rashid and similarly Shehbaz Sharif and Maryam Nawaz were defeated.
Mr Basra said the rulers were afraid of PTI founder chairman Imran Khan as he had shunned all efforts to convince him for a deal.
Published in Dawn, March 19th, 2024
",https://www.dawn.com/news/1822495/pti-plans-long-march-sit-in-against-rigging-after-eid,lahore,2024-03-19
2,Punjab Cabinet decides on Adiala Jail trials today,"LAHORE: The Punjab Cabinet is taking up the matter of reapproving jail trial proceedings in the Adiala Jail, which...","LAHORE: The Punjab Cabinet is taking up the matter of reapproving jail trial proceedings in the Adiala Jail, which was earlier approved by the former caretaker cabinet.
It is learnt that the Anti-Terrorism Court judge had sought that the newly formed elected government should grant a fresh approval for the jail trial proceedings in the Adiala Jail.
The Punjab government is holding its third cabinet meeting with a seven-point agenda in the committee room of 8-Club, GOR-I, on Tuesday (today).
It is learnt the cabinet has plans to approve and hand over the control of the Lahore Knowledge Park to the Punjab Central Business District Development Authority (PCBDDA). The cabinet is also scheduled to grant approval for the provision of 10,000 electric bikes by the Bank of Punjab.
The cabinet is also expected to grant extension in deputation period of CEO Punjab Transport Company Faiq Ahmad (PAS/BS-18) Faiq Ahmad from Oct 22, 2023, to Oct 21, 2025, on a deputation basis.
The emergency service department has the matter of provision of the Air Ambulance Service for Punjab on the cabinet agenda. The cabinet is also expected to give its nod for the transfer of funds to Strategic Plans Division (SPD) for the cloud speeding project.
The cabinet will also consider and approve the revised minutes of the second meeting of the sub-committee of the Council of Common Interests (CCI) regarding “Modalities of provincial representation in CCI secretariat.
Published in Dawn, March 19th, 2024
",https://www.dawn.com/news/1822494/punjab-cabinet-decides-on-adiala-jail-trials-today,lahore,2024-03-19
3,Money laundering case: Non-bailable warrants for Moonis’ wife,LAHORE: The Lahore High Court on Monday issued non-bailable arrest warrants for the wife of absconding former ...,"LAHORE: The Lahore High Court on Monday issued non-bailable arrest warrants for the wife of absconding former federal minister Moonis Elahi for not attending the hearing of a prosecution appeal seeking cancellation of their pre-arrest bail in a money laundering case.
Last month, a two-judge bench headed by Justice Shehram Sarwar Chaudhry had issued bailable warrants for the arrest of Tehreem Elahi, the wife of Moonis.
Ms Tehreem also failed to appear before the bench on Monday.
At this, the bench issued her non-bailable arrest warrants for a date to be fixed after Eidul Fitr holidays.
The prosecution filed the appeal seeking cancellation of bail of PTI President Parvez Elahi’s wife Qaisera Elahi, son Rasikh Elahi, daughter-in-law Zara Elahi and others.
A trial court had confirmed the pre-arrest bail of the Elahi’s family members in the money laundering case lodged by the Federal Investigation Agency (FIA).
The FIA alleged that the sons and the daughters-in-law of former chief minister Elahi committed money laundering through a low cadre employee of the Punjab Assembly.
It said the suspects used bank accounts of Qaiser Iqbal Bhatti, a peon of the assembly, to launder money.
The agency said unexplained transactions of millions of rupees had been traced in the accounts of the peon and the children of Elahi. It alleged that the assets of the peon had been found beyond his known sources of income.
The FIA said the inquiry in question had no relation with any previous probe as it had been initiated against a government servant, the assembly`s peon.
Moonis has been declared a proclaimed offender in the case.
Omar Ayub: An anti-terrorism court (ATC) on Monday granted pre-arrest bail to the Pakistan Tehreek-i-Insaf (PTI) Secretary General Omar Ayub Khan till April 20 in five cases related to May 9 riots.
The PTI leader, who earlier secured protective bail from the Peshawar High Court, appeared before the ATC along with his counsel Babar Awan.
Judge Arshad Javed allowed the pre-arrest bail to the petitioner subject to furnishing surety bonds worth Rs50,000 in each case.
Speaking to the media outside the court, Omar Ayub, who is also opposition leader in the National Assembly, said working relations with the government depend on the behaviour of the ruling coalition.
He said the PTI would see how its founder Imran Khan, his wife Bushra Bibi, former foreign minister Shah Mahmood Qureshi and other arrested leaders were treated by the government before taking any decision in this regard.
“Until our arrested leaders are not released, there can be no negotiations with the government,” he announced.
The opposition leader said the government was clueless about the country’s economy, therefore, there was no point in discussing the economic issues with it.
Mr Ayub said the ruling coalition had pushed the country towards bankruptcy earlier and now they were doing the same thing again.
Published in Dawn, March 19th, 2024
",https://www.dawn.com/news/1822493/money-laundering-case-non-bailable-warrants-for-moonis-wife,lahore,2024-03-19
4,"Three killed, 12 injured as factory van overturns on Multan Road","Municipal committee official, factory worker and van driver die on spot.","KASUR: Three died while 12 workers suffered serious injuries when a factory van overturned near Saeen Di Khoi on Multan Road in the limits of the Pattoki Police Station on Monday.
According to Rescue 1122, the van was carrying the factory workers to Pattoki from Lashari village.
When it reached near the Saeen Di Khoi bus stop, the driver applied brakes to save some municipality workers cleaning the road. The van hit the road divider and skidded to the other side of the road while it overturned. As a result, a municipal committee official, a factory worker and the van driver died on the spot.
The deceased were identified as MC official Muhammad Saleem (48), van driver Saad Muhammad (59) and a 25-year- old factory worker who was yet to be identified.
At least 12 factory workers, including Nadia Bibi (22), Ayesha Shoukat (19), Ayesha Shafaqat (22), Ayesha Munawar (20), Iqra Bibi (30), Fatima Bibi (20), Shazia Bibi (25), Saba Bibi (20), Sawaira Bibi (18), Jawairia Bibi (26), Asif (45) and Murtaza (50), suffered injuries. They were rushed to the Tehsil Headquarters (THQ) Hospital Pattoki. Four of them, namely Murtaza, Iqra, Nadia and Shazia, were referred to the Jinnah Hospital in Lahore in critical condition.
According to eyewitnesses, the van was speeding and was involved in the race with another van of the same factory.
Published in Dawn, March 19th, 2024
",https://www.dawn.com/news/1822492/three-killed-12-injured-as-factory-van-overturns-on-multan-road,lahore,2024-03-19
5,"LDA to transform Lahore into clean, livable city by 2034","LAHORE: The management of the Lahore Development Authority (LDA) plans to focus on improving the environment, making...","LAHORE: The management of the Lahore Development Authority (LDA) plans to focus on improving the environment, making Punjab’s capital a clean, green, sustainable, and livable city until 2034.
It also wants to make efforts to change the image of the organisation by improving service delivery, completing the digitization of records, and ensuring a paperless working environment in a bid to serve the public at large in a friendly manner.
“I don’t want LDA to be known as an organisation making roads or bridges alone in Lahore. I want this organisation to be recognised as making Lahore a sustainable, green, clean, environment-friendly, and livable city under a 10-year plan I envision,” LDA Director General Tahir Farooq said while listing his priorities to take the organisation towards a most-needed objective/goal.
“Though roads and bridges are also the need of this city, my focus would be on improving the environment of the city,” he added while talking to Dawn on Thursday.
Mr Farooq said his focus would also ensure introducing a cycling culture, dedicated tracks, footpaths for pedestrians, cyclists, and motorcyclists with the availability of green areas on both sides of the roads. According to him, encroachments, the display of signboards, and publicity material on roads, shops, public spots, green belts, and other places are not only damaging the city’s aesthetics but also causing several environment-related issues.
“Lahore should have clean drinking water for all, as it is essential for the health of the people. For this, the LDA can play a vital role,” he said. It may be mentioned that the primary contributors to air pollution in Lahore include vehicle and industrial emissions, smoke from brick kilns, burning of crop residue and general waste, and dust from construction sites. Deforestation for infrastructure development, such as new roads and buildings, also plays a significant role.
To a question, the DG said besides the removal of encroachments, signboards etc, the LDA would ensure effective traffic engineering to control traffic congestion in busy areas of Lahore.
“We have assigned Traffic Engineering and Transport Planning Agency (Tepa) — a subsidiary of LDA — to leave no stone unturned in this regard,” he maintained.
To another question about mega transport infrastructure projects, Blue Line and Purple Line, he said he would get a briefing on these projects soon and find out ways to execute these mega schemes.
“I know these are very important projects in terms of state-of-the-art transport facilities for the people of Lahore,” he said, adding that the shifting of the record related to LDA-owned housing schemes and other departments is also among one of his priorities. On the other hand, the Tepa on Thursday launched a city-wide operation against illegally displayed signboards in the Punjab capital.
According to official sources, the teams removed a number of signboards in various markets, roads, and prominent places. In the first phase, Tepa teams removed illegal signboards from several spots of Jail Road, MM Alam Road, Hali Road, Noor Jahan Road, Liberty Market Roundabout, and Mahmood Kasuri Road.
On the other hand, the LDA management held an important meeting the Town Planning Wing. In the meeting, chief town planners 1 and 2 gave detailed briefings about the working of the wing.
“The IT-based reforms in the Town Planning Wing are inevitable. In this way, a new era of information technology will be introduced in LDA,” DG Farooq said while presiding over the meeting. He sought installation of the signboards on all under-construction approved buildings so that all should know about details related to the approval of the building plan. He was of the view that there should be no debris on the under construction properties in LDA controlled area.
“All under-construction properties should be geo-tagged. Moreover, we must devise an action plan based on concrete measures to prevent illegal commercialization and illegal construction,” he sought. He said that all directors of town planning should also improve revenue generation by achieving their targets before the end of the financial year.
Published in Dawn, March 19th, 2024
",https://www.dawn.com/news/1822491/lda-to-transform-lahore-into-clean-livable-city-by-2034,lahore,2024-03-19
6,"Class-X exam concludes, of IX begins today","LAHORE: The class 10th annual examinations for the year 2024 concluded across Punjab on Monday, with a record number...","LAHORE: The class 10th annual examinations for the year 2024 concluded across Punjab on Monday, with a record number of 2,694,281 candidates appearing in the exam.
The examinations for 10th grade concluded on March 18, while for 9th grade students the exams will begin on March 19, including the English paper exam to be held on March 20, Arabic on March 21, and Pakistan Studies on April 4.
The education department has established 4,088 examination centres across the province, including 14 in different jails.
Punjab Minister for School Education Department (SED) Rana Sikandar Hayat paid a surprise visit to the Lahore Board Examination Centre.
He inspected the matriculation examination process and reviewed the facilities provided to the students at the centre.
He also visited the control room established in Lahore Board examination centre and reviewed the process of monitoring the candidates.
During his visit, the minister interacted with the candidates and asked them about the environment at the centre and the staff’s attitude.
He directed the Board of Intermediate and Secondary Education (BISE) to maintain transparency at the examination centres, provide better environment for the students, launch the biomatric attendance project as soon as possible, and prepare a plan for screen marking.
Meanwhile, Higher Education Department Secretary Dr Farukh Naveed also visited the examination centres. He was given a briefing about the QR and barcode on the answer sheets.
The secretary ordered Controller Irfan Ahmed to make the process of assigning fictitious numbers on the answer sheets more transparent.
Dr Naveed also visited the examination centre for the visually-impaired students and inquired about their question papers.
Board Chairman Dr Ansar Azhar discussed the board’s operations and the examination system, emphasizing the need for transparency and improvement.
Published in Dawn, March 19th, 2024
",https://www.dawn.com/news/1822489/class-x-exam-concludes-of-ix-begins-today,lahore,2024-03-19
7,Three burnt in fire after gas blast,TOBA TEK SINGH: Three persons were seriously burnt in the fire that broke out at a house due to gas leakage in the...,"TOBA TEK SINGH: Three persons were seriously burnt in the fire that broke out at a house due to gas leakage in the Naveed Town locality near the Samundri Road in Faisalabad.
Rescue 1122 officials said gas had accumulated due to gas leakage in the pipeline in the street and when the fire was lit to prepare the Iftar meal, a heavy blast occurred.
Three persons were burnt in the fire. As a result of the blast, the roofs of the house as well as three other adjacent houses also collapsed. All three injured were shifted to hospital.
Razia Bibi (70) was shifted to Allied Hospital, Khalid Sultan (68) was shifted to the district headquarters hospital and Eiman Naveed (7) was sent to the Government General Hospital Samanabad.
Meanwhile, a loaded truck caught fire after its load touched electricity wires passing over the Jhang Road near Aftab Town locality of Gojra, reducing all the sacks to ashes.
Reports said that after the fire, the brave driver drove his truck to outside the Municipal Committee Complex where firefighters extinguished the fire but all the sacks and wooden body of the truck had already been burnt by then.
RAPE: A man raped a woman at Chak 442-JB, at Gojra.
According to FIR registered with Saddar police, the woman alleged that she was returning from farmland when the suspect and his unidentified accomplice overpowered her and forcibly took her to the crops where the main suspect raped her. Police have arrested the main suspect.
WALK: An awareness walk on violence against women was held from District Council Chowk till Clock Tower, in Faisalabad.
It was led by District Bar Association President Mian Anwarul Haq, CPO retired Capt Muhammad Ali Zia, Chief Traffic Officer Maqsood Ahmed and ASP People’s Colony Zainab Khalid while women police officers and civil society participated in it.
A press release said the purpose of the walk was to raise awareness about crimes against women, domestic violence and other related issues.
BADMINTON: Under-17 South Asian Badminton Champion Khazaima Shehzad, a Matric student from Jaranwala, met Faisalabad Commissioner Silwat Saeed.
The commissioner congratulated him on becoming the Under-17 South Asian Badminton Champion.
The commissioner told the reporters that the young player had made Faisalabad famous all over the world.
Deputy Commissioner Abdullah Nayyar Sheikh gave Khazaima Shahzad Rs50,000 and a certificate on behalf of the district administration.
Published in Dawn, March 19th, 2024
",https://www.dawn.com/news/1822488/three-burnt-in-fire-after-gas-blast,lahore,2024-03-19
8,Hammad accuses RO of refusing papers for by-polls,LAHORE: Pakistan Tehreek-i-Insaf Central Punjab General Secretary Hammad Azhar has alleged that the returning ...,"LAHORE: Pakistan Tehreek-i-Insaf Central Punjab General Secretary Hammad Azhar has alleged that the returning officer for PP-147 (Lahore) Nabeel Ahmad Memon did not receive his nomination papers.
He stated he intended to contest by-election for PP-147, which has been relinquished by Hamza Shehbaz.
In a tweet released from his X handle on Monday, Mr Azhar said the RO told his representatives at round 2pm that he would not receive the nomination papers as the office time had ended. He stated the Election Commission office, when contacted, replied that the office time had yet not concluded.
“The ECP still did not help my representatives to get the nomination papers submitted,” he lamented.
It may be mentioned that Mr Azhar’s nomination papers for NA-129 contest in general elections were rejected. As many as 42 FIRs have been registered against him so far.
Published in Dawn, March 19th, 2024
",https://www.dawn.com/news/1822487/hammad-accuses-ro-of-refusing-papers-for-by-polls,lahore,2024-03-19
9,Wildlife rescue centres to be set up in Punjab,"LAHORE: The Punjab Wildlife and Parks Department will establish ‘wildlife rescue centres’ across the province,...","LAHORE: The Punjab Wildlife and Parks Department will establish ‘wildlife rescue centres’ across the province, initially setting up these facilities at Rawalpindi, Lahore and Khanewal.
Department’s Director General Mudassar Riaz Malik told Dawn on Monday these facilities would be called ‘Chief Minister’s Wildlife Rescue Centres’.
The DG said the proposed project would be presented to wildlife secretary who will provide guidance on various aspects before it is finalised.
He said in a recent meeting a framework had been laid down to proceed with the project.
He said the Punjab Information and Technology Board (PITB) will develop a helpline and a portal, where any information regarding the wild animals could be reported.
According to officials, wild animals, including Nil Gaie, Samber deer, Uryal and different birds, are found in different areas of Punjab.
They say many wild animals enter Pakistani territory after crossing the border through rivers in areas such as Sailkot, RahimYar Khan, Narowal, Sheikhupura and Kala Khataaie, regretting that most of them are killed or hurt by locals.
Such animals need immediate rescue and care from the wildlife department, they say, recommending establishment of the proposed rescue centres near these border areas.
They cite cases where leopards entering Pakistani territory were timely rescued by wildlife staff as villagers were going to kill these beasts.
The officials says that because of development of housing societies at places away of from the cities, presence of reptiles like snakes and monitor lizards is also reported there. Therefore, they says, the establishment of wildlife rescue centres will be of great significance.
Wildlife experts believe that to successfully run the proposed rescue centres, the wildlife department will also require trained staff and equipment.
Published in Dawn, March 19th, 2024
",https://www.dawn.com/news/1822486/wildlife-rescue-centres-to-be-set-up-in-punjab,lahore,2024-03-19
