,Header,Summary,Detail,Link,Category,CreationDate
0,"State Life plans reserve fund for cancer treatment, dialysis under Sehat Card in KP",Asks government to provide Rs400m for initiative.,"PESHAWAR: After receiving Rs5 billion from the Khyber Pakhtunkhwa government last Monday for the resumption of its health insurance scheme, the State Life Insurance Corporation has sought Rs400 million additional funds to set up a “reserve fund” to ensure uninterrupted cancer treatment as well as dialysis for patients covered by the Sehat Card Plus, say officials.
They told Dawn that the SCP resumed in the province’s hospitals in both the public and private sectors on March 12 after remaining partially suspended for more than one year.
The officials said 9,000 patients were admitted to hospitals in the province in the last week for free treatment under the government’s health insurance programme.
They added that Rs177.1 million was spent on the patients admitted.

Asks government to provide Rs400m for initiative

The officials said they had informed health minister Syed Qasim Ali Shah that the SCP required to establish a reserve fund to make sure that cancer patients and those with damaged kidneys could avail themselves of complete care under the health insurance scheme.
 
 

They said cancer and kidney failure required long treatment and extra money.
The officials said normally, patients got free treatment when its cost stayed within the limit of Rs400,000, but if the cost went beyond that, the remaining amount was paid from the reserve fund, but that currently didn’t exist.
They said under the SCP, every family permanently living in Khyber Pakhtunkhwa could avail itself of health services up to Rs1 million annually, but if Rs400,000 was spent, the matter was sent to a committee to sanction the rest of the amount from the reserve fund.
The officials said the Sehat Card programme was launched in 2015, covering a few people in four selected districts, but was later expanded to the entire population of Khyber Pakhtunkhwa.
They said under the programme, Rs70.342 billion had been spent on the treatment of 2.812 million people, and the treatment included 164 kidney and 64 liver transplants, 169,107 cardiac procedures, 530,041 dialysis sessions, and 54,710 chemotherapy cases.
The officials said liver transplants cost Rs5 million and renal transplants Rs1.4 million and no plans were in the works to resume them.
They added that the SLIC, the executor of the programme, had received Rs5 billion from the government but Rs17 billion dues had yet to be cleared.
“The insurer will decide about transplants when it gets more government funding. We are waiting for these procedures to resume,” an official told Dawn.
He, however, said dialysis and cancer treatments were very important and the patients couldn’t be left halfway through treatment.
“Most of these patients consume their permissible limit in four to six months and have to suffer for the rest of the year,” he said.
The official said the health minister was briefed about the situation and was hopeful about the early release of funds.
He said the patients needing cancer treatment and dialysis were generally very poor, and while the cost of treatment was very high, the government wanted to ensure their free care without interruption.
 
 

Other officials said the programme suffered during the last caretaker government in the province as it didn’t allocate money to keep it afloat.
They said the SLIC used to suspend and resume the programme during the caretaker government due to a lack of funds, while free services were restricted to cancer, dialysis, and emergencies in Oct 2023.
The officials said the people requiring cardiac care had also been awaiting the provision of free health services since the re-launch of the SCP last week.
They, however, said the people needing liver and renal transplants were likely to get much benefit from the programme as both procedures consumed Rs5 million and Rs1.4 million, respectively.
The officials said the suspension of SCP had adversely impacted more than 20 people, who had already undergone many investigations prior to renal transplants at hospitals, but there were no prospects that their free procedures would take place anytime soon.
They said the PTI, which pioneered the programme, was required to ensure the provision of funds for transplants.
The officials, however, said patients requiring transplants had to wait as the State Life Insurance Corporation was expecting more funds to come in from the government to resume transplants.
They said the insurer had received Rs5 billion from the government and would get Rs3 billion more on a monthly basis to run the programme across the province.
Published in Dawn, March 19th, 2024
",https://www.dawn.com/news/1822364/state-life-plans-reserve-fund-for-cancer-treatment-dialysis-under-sehat-card-in-kp,peshawar,2024-03-19
1,Jirga member shot dead in Swabi mosque,SWABI: A jirga member was shot dead inside a mosque during the morning prayers here on Monday. Khalabat police ...,"SWABI: A jirga member was shot dead inside a mosque during the morning prayers here on Monday. 
Khalabat police post officials said an unidentified person standing in the second row fired two bullets into the head of Syed Mohammad Kaka, 73, a member of Khalabat jirga, killing him on the spot. 
“The incident spread panic among those present in the mosque as blood oozed from the head of the elder,” a person who was present in the mosque during the incident, told Dawn on condition of anonymity. 
The police officials quoted witnesses as saying that two persons wearing masks escaped on a motorcycle parked outside the mosque. 
They said the number of accused persons was three, who completed their task under a well-planned strategy, and made good their escape.  
The family of the deceased said they had no enmity with anyone. 
Syed Mohammad Kaka spent 30-35 years in the Middle East, especially Kuwait, Dubai and Saudi Arabia.  
The people, who were offering the morning prayers in the mosque, told the police that two persons asked for the time of the prayer outside the mosque, who later also joined the second row after performing ablution. 
The police registered an FIR against unidentified assailants and started investigation. 
Meanwhile, a family dispute claimed life of man in Razaar tehsil here on Monday, the police said. 
Tariq Ali stated in the FIR he got registered with the Yar Hussain police station that he along with his nephew, Faisal Khan, came to the Shago Bridge area to pick his wife from her parents’ house. 
He said they were returning home on separate motorcycles, and when they reached Ghalu Kanda area on Yar Hussain Road, Mukhtiar Khan and his son, Shayan Khan, who were already waiting there armed with pistols, stopped them. 
The complainant said Mukhtiar directed his son to open fire on Faisal, and he followed the father’s order and started firing with a pistol on his nephew. 
As a result, he said his nephew died on the spot. He said the cause of the incident was a family dispute. 
The Yar Hussain police started further investigations into the murder. 
Since the start of Ramazan it was the 10th incident of killing in the Swabi district.
Published in Dawn, March 19th, 2024
",https://www.dawn.com/news/1822363/jirga-member-shot-dead-in-swabi-mosque,peshawar,2024-03-19
2,KP opposition to move court on reserved seats issue,Urge KP Assembly speaker to call a session for the swearing-in of women on reserved seats.,"PESHAWAR: Opposition members in the Khyber Pakhtunkhwa Assembly on Monday said if the oath was not administered to women lawmakers elected to reserved seats, the court of law and the Election Commission of Pakistan would be approached for relief.
They urged Speaker of the assembly Babar Saleem Swati to call a session for the swearing-in of those women, saying the house was incomplete without them for the Senate elections to be held on April 2.
“Oaths are not being administered to women MPAs elected to reserved seats. If the KP Assembly session is not called, we [the opposition] will approach the court of law and the ECP,” Opposition Leader in the KP Assembly Dr Ibadullah Khan told a presser here.
Dr Khan, a PML-N member, was joined by Ahmad Kundi of the Pakistan Peoples Party, Arbab Usman of the Awami National Party and Malik Taiq Awan and Sobia Shahid of the PML-N.
He alleged that Speaker of the assembly Babar Saleem Swati was acting like a worker for his party.
The opposition leader said the recent meeting between Prime Minister Shehbaz Sharif and KP Chief Minister Ali Amin Khan Gandapur in Islamabad was a positive development.
Mr Kundi said issues were always resolved in parliament.
He said if someone had any issue with the Feb 8 general elections, it should be discussed and resolved inside parliament.
“[The PTI] ... did not receive any reserved seats under the law, while the opposition got them legally. This will not be good if the Senate elections are held without women elected to reserved seats,” said ANP member Arbab Usman.
He added that the ANP supported other members of the opposition benches and would always raise a voice for democracy. 
Published in Dawn, March 19th, 2024
",https://www.dawn.com/news/1822362/kp-opposition-to-move-court-on-reserved-seats-issue,peshawar,2024-03-19
3,Battagram DPO dies of cardiac arrest,"BATTAGRAM: The Battagram district police officer died of cardiac arrest on Monday morning. 

DSP Sajid Nawaz told...","BATTAGRAM: The Battagram district police officer died of cardiac arrest on Monday morning. 
DSP Sajid Nawaz told Dawn that DPO Asif Gohar passed away this morning due to cardiac arrest. 
He said that DPO’s condition deteriorated at his home in Qalandarabad area of Abbottabad district, and his family shifted him to a hospital, but he was pronounced dead by doctors later on. 
DSP Sajid Nawaz said earlier DPO Asif Gohar had also survived a heart attack.  
Mr Gohar was appointed DPO Battagram about three months ago.
Published in Dawn, March 19th, 2024
",https://www.dawn.com/news/1822361/battagram-dpo-dies-of-cardiac-arrest,peshawar,2024-03-19
4,24 universities in KP working without regular VCs,Academician says absence of full-time heads affects performance of higher education institutions.,"PESHAWAR: The number of universities functioning without regular vice-chancellors rose to 24 in Khyber Pakhtunkhwa as five more vice-chancellors completed their tenure on March 16, according to sources.
“It is alarming that out of 34 public sector universities in the province, 24 are not headed by a regular vice-chancellor,” an academician at University of Peshawar told Dawn. He said that absence of regular vice-chancellors was affecting the universities administratively and financially.
Sources said that 19 public sector universities were already functioning without regular VCs while the tenure of five more heads of universities completed on March 16. They said that the VCs of Fata University Dara Adamkhel, Islamia College University Peshawar, University of Buner, Women University Mardan and University of Chitral completed their tenure on March 16.
 
 

They said that eight universities had been functioning without regular VCs for the last one year.
They said that the public sector universities working without regular VCs for the last one year included Abbottabad University of Science and Technology, Gomal University Dera Ismail Khan, Khushal Khan Khattak University Karak, University of Agriculture Dera Ismail Khan, University of Lakki Marwat, Hazara University Mansehra, University of Engineering and Technology Mardan and Women University Swabi.

Academician says absence of full-time heads affects performance of higher education institutions

Similarly, seven universities including Abdul Wali Khan University Mardan, Bacha Khan University Charsadda, Shuhada-i-APS University of Technology Nowshera, Kohat University of Science and Technology, University of Peshawar, University of Science and Technology Bannu and University of Engineering Peshawar have been functioning without regular VCs for the last three months.
Sources said that the newly-established universities including University of Agriculture Swat, University of Engineering and Applied Sciences Swat, University of Veterinary and Animal Sciences Swat and University of Shangla were also working without regular VCs.
They said that the process for appointment VCs of 19 public universities had been completed two months ago. They added that provincial government was reluctant to notify the names of VCs without any justification, prolonging the unnecessary delay.
The academic search committee for the appointment of vice-chancellors has conducted interviews of aspirants for VCs of 19 universities from January 22 to 26.
 
 

Khyber Pakhtunkhwa Universities Act, 2021, has empowered the academic search committee to conduct interviews of candidates for the post of vice-chancellors and recommend to the government a panel of three persons for selection of a VC from each panel.
Sources said that in light of the interviews for VCs of 19 universities, the academic search committee had recommended to the government a panel of three candidates for each university. They added that the recommended panels were also approved by the previous caretaker cabinet and signed by the caretaker chief minister.
However, instead of notifying the appointment of VCs, the authorities at the helm of affairs forwarded the names of the shortlisted candidates to intelligence agencies for security clearance, they said. “Security agencies have given clearance of potential VCs a month ago but despite that the government is reluctant to appoint regular VCs of universities,” they added.
Section 12 of the law states: “The vice-chancellor shall be appointed by the chancellor on the advice of government from a panel of three candidates recommended by the academic search committee.”
When asked about the government intentions regarding the possible changes in the panels shortlisted and recommended by the academic search committee, an official at higher education department said that as per decision of Supreme Court of Pakistan, the chief minister was required to recommend the name on top of the panel as VC to the governor, the chancellor of the public sector universities in the province.
The judgment of Supreme Court of Pakistan issued on July 28, 2018 states: “The person, who stands first in the merit, shall be appointed as vice-chancellor except if the government has any reason not to appoint him, which reason(s) shall be recorded in writing. Such reasons and validity thereof shall always be justifiable by the court of law.”
Minister for Higher Education Meena Khan was not available for comments.
Published in Dawn, March 19th, 2024
",https://www.dawn.com/news/1822360/24-universities-in-kp-working-without-regular-vcs,peshawar,2024-03-19
5,Missing boy found dead in Bannu,"LAKKI MARWAT: A three-year-old boy, who had gone missing four days ago, was found dead in a canal in Bannu on ...","LAKKI MARWAT: A three-year-old boy, who had gone missing four days ago, was found dead in a canal in Bannu on Monday.
A rescue official said that Musa Khan, 3, had gone missing from home in Miryakhel area on Thursday, prompting speculations that he might have fallen into a canal. “When the control room received information about the incident, water rescue and medical teams were sent to the area,” he added.
He said that the rescue workers continued their efforts for three days and found the body in the canal in Mughalkhel area. The body was shifted to district headquarters hospital.
Later, it was handed over to his relatives for burial after fulfilling formalities.
Separately, five people including a minor were injured when a passenger coach overturned while overtaking another vehicle on Miramshah road in Bannu.
ABSENTEEISM: The additional district accounts officer of Lakki Marwat has asked drawing and disbursing officers of government departments to deduct pay from truant employees working under their control.
In a letter addressed to all DDOs, he said that truant employees had no right to get pay and allowances. “Instead asking the authorities of district accounts office to stop or inactivate salary of absent employees, the drawing and disbursing officers are bound to deduct pay and allowances for the absent period under rules,” he said.
MINISTER: Provincial Minister for Public Health Malik Pakhtoonyar Khan has said that all public sector institutions will be cleansed off black sheep to improve service delivery.
He said this during a visit to Khalifa Gul Nawaz Hospital in Bannu on Monday. Deputy commissioner Shah Saud accompanied him.
The minister also visited the office of public health engineering department where he found several employees absent from duty. 
He directed the authorities concerned to initiate action against the truant workers.
Later, Mr Pakhtoonyar told journalists that it was top priority of government to improve healthcare services and provide free treatment facilities to patients. 
He said the issues faced by local people would be brought into the notice of chief minister.
Published in Dawn, March 19th, 2024
",https://www.dawn.com/news/1822359/missing-boy-found-dead-in-bannu,peshawar,2024-03-19
6,Asfandyar Wali wins defamation suit against Shaukat Yousafzai,"PTI leader had accused ANP chief of ""selling Pashtuns for $25m"".","PESHAWAR: Awami National Party chief Asfandyar Wali Khan has won Rs150 million in a defamation lawsuit against Pakistan Tehreek-i-Insaf leader and former provincial minister Shaukat Ali Yousafzai.
Additional district and session judge Ejazur Rehman Qazi announced an ex parte verdict in the case as Mr Yousafzai didn’t attend court proceedings.
Mr Asfandyar had sued the PTI leader through his counsel, including Tariq Afghan and Sajeed Afridi, for alleging in a presser on July 25, 2019, that the ANP chief had “sold Pashtuns for $25 million.”
Mr Yousafzai was the spokesman for the then PTI government in Khyber Pakhtunkhwa.
The counsel for Mr Asfandyar told the court that their client was the son of Pakhtun leader Khan Abdul Wali Khan and the grandson of Pakhtun leader Bacha Khan, both prominent leaders of international repute in the Independence Movement.

PTI leader had accused ANP chief of ‘selling Pashtuns for $25m’

They added that Mr Asfandyar had served as a member of the National Assembly four times and as a senator and a member of the KP Assembly once.
The lawyers insisted that the defendant made the defamatory accusation against their client intentionally to “adversely affect his reputation in the public mind and lower his status in public.”
In the five-page detailed judgement, the court declared that the parties were asked to list witnesses, which they did, and to produce evidence in the case.
It added that the plaintiff produced six witnesses and the defendant just one, but during the “course of the defendant’s evidence,” the defendant failed to attend the court, so he was proceeded against ex parte.
The court declared that the burden to prove the issue was on the defendant, but as he had been proceeded against ex parte, no evidence was available on record from him to prove his contention.
Regarding the issue of the plaintiff being entitled to the recovery of Rs100 million in damages and Rs50 million in aggravated damages, it noted that the burden to prove the matter was on the plaintiff, who produced six witnesses, including his attorney.
“The careful perusal of the record produced by witnesses revealed that the defendant made derogatory remarks during a news conference that were published by newspapers and failed to submit any explanation or justification for them.
He also failed to submit that his remarks during the news conference were not derogatory, i.e., slander and libel, but truth. Therefore, the issue was decided in favour of the plaintiff,“ it ruled.
The court also declared that the plaintiff successfully established the “cause of action and entitlement of decree,” so both issues were decided in his favour.
“In view of what has been discussed above, the lawsuit of the plaintiff is decreed in favour of the plaintiff as prayed,” it ruled in the verdict.
Published in Dawn, March 19th, 2024
",https://www.dawn.com/news/1822358/asfandyar-wali-wins-defamation-suit-against-shaukat-yousafzai,peshawar,2024-03-19
7,RO issues schedule for by-election on NA-8 in Bajaur,BAJAUR: The Election Commission of Pakistan has appointed Lower Dir additional deputy commissioner (finance &...,"BAJAUR: The Election Commission of Pakistan has appointed Lower Dir additional deputy commissioner (finance & planning) Jan Mohammad as the returning officer for the by-election on NA-8 in Bajaur tribal district, according to a notification issued here on Monday. 
After his appointment as RO, Jan Mohammad issued a notification, fixing March 16 to 18 for filing of nomination papers by the candidates for the by-poll to be held on April 21. 
He fixed March 21 for the scrutiny of nomination papers, March 25 for filing of appeals against the decision of the returning officer regarding rejection or acceptance of the nomination papers. 
Similarly, March 28 was set for decision on appeals by the appellate tribunal. 
The candidates can withdraw their candidature on March 29, and the revised list of candidates will be published on the same day. 
According to the notification, symbols to the contesting candidates will be allotted on Mach 30, and polling would be held on April 21. 
COMPENSATION: The district administration on Monday distributed compensation cheques among 15 rain-hit families. 
The cheques were distributed under the National Disaster Management Authority’s relief package approved by Prime Minister Shehbaz Sharif. 
The cheques were given away to the families whose houses were either destroyed or damaged during the recent rains at a ceremony held at the deputy commissioner’s office, according to a statement. 
Deputy commissioner Mohammad Anwarul Haq and former MNA and PML-N leader Shahabuddin Khan distributed the cheques.  
Owners of destroyed houses were given Rs700,000 and those of damaged ones Rs350,000 each.  
Speaking on the occasion, Mr Haq said the families left out in the first phase of the relief would be covered in the second phase.  
He said over 120 houses were either destroyed or damaged across the Bajaur district in recent rains. 
The rain-hit people thanked the prime minister for approving the compensation package for them.
Published in Dawn, March 19th, 2024
",https://www.dawn.com/news/1822357/ro-issues-schedule-for-by-election-on-na-8-in-bajaur,peshawar,2024-03-19
8,Minister directs early provision of textbooks  to students,PESHAWAR: Minister for elementary and secondary education Faisal Khan Tarakai on Monday directed the provision of...,"PESHAWAR: Minister for elementary and secondary education Faisal Khan Tarakai on Monday directed the provision of textbooks to the students in all the public sector schools by the beginning of the new academic year so that their education wasn’t affected. 
He issued the directives while chairing a meeting of Khyber Pakhtunkhwa Text Book Board here. 
He assured the participants of the timely release of funds for the purpose. 
KP Text Book Board chairman Faral Saqlain, special secretary education department Isfandyar and other officials were in attendance. 
The minister was informed that so far about 28 per cent supply of books to schools had been completed, while the total demand was about 39.3 million books. 
He was told that 354 circles at the primary level and 28 circles at the secondary level had been established for timely supply of course books across the province. 
The minister was further told that the supply of books would start from the second week of April. 
He was further informed that this year the supply of books had been kept low, as according to the government’s policy, books used by former students would be provided to the children at high and higher secondary school level with a view to controlling the expenditures, besides ensuring the timely supply of books to students. 
Faisal Tarkai directed the authorities to be in constant contact with the publishers to ensure timely provision of books. 
He said the government and was committed to providing quality education to children at public sector schools. 
He directed chalking out a plan for supply of books to schools in remote and hilly areas without delay, saying that the principals and in-charges of schools should encourage students to submit old books to school administrations and bring those into use. 
Published in Dawn, March 19th, 2024
",https://www.dawn.com/news/1822356/minister-directs-early-provision-of-textbooks-to-students,peshawar,2024-03-19
9,"‘Ramazan relief package to benefit 850,000 families’","PESHAWAR: The adviser to chief minister for finance, Muzammil Aslam, said here on Monday that payment of Rs10,000...","PESHAWAR: The adviser to chief minister for finance, Muzammil Aslam, said here on Monday that payment of Rs10,000 Ramazan relief package each to about 850,000 families of the province would start in the current week.
Addressing a press conference, he said that the relief package of Khyber Pakhtunkhwa was the best among all provinces. 
He said that it was aimed at ensuring transparency and protecting the honour of people.
Mr Aslam said that the relief package would benefit 850,000 families. He said that the families were selected on the basis of data of Benazir Income Support Programme. 
He said that government issued funds to food department and the next step was to disburse the amount through bank
“The process will start in the current week,” he said. He said that government released Rs8.5 billion for the purpose. In addition to this, Rs5 billion has been released for health card and government is working to make the health insurance scheme a sustainable one.
Mr Aslam said that government was also working on bringing changes in the health card scheme to ensure transparency. He said that government would also release funds to maintain law and order in the province.
He criticised the Punjab government for its decision to ban transportation of onions and bananas to other provinces. 
He said that since Punjab was a food basket, therefore, the emphasis should have been on facilitating people during the holy month of Ramazan instead of banning supplies of food items.
Mr Aslam said that increase the oil and gas prices would badly affect poor; therefore, government should give proper thought to it before making any decision. Besides, he said that government would also revive the development budget soon.
To a question about the province’s debt, Mr Aslam said that liabilities of KP stood at Rs630 billion.
Published in Dawn, March 19th, 2024
",https://www.dawn.com/news/1822355/ramazan-relief-package-to-benefit-850000-families,peshawar,2024-03-19
